iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS
27,2025-01-14 15:45:22.609994,6.5437956240605315,6.117830136742456,64.86369626364335,65.16017098267079,57.73073740178433,57.30317470817314,57.73073702003227,134.3560545413759,1.0,147.2561125744606,1.0,-127.67652666695994,1.0
28,2025-01-14 15:45:27.037988,6.65094414219893,6.226962902840682,64.88518768906911,65.17812698261973,57.83899226461467,57.41303318280793,57.838991885961704,133.57476215279348,1.0,146.32098854056107,1.0,-126.64003463214613,1.0
29,2025-01-14 15:45:31.570375,6.7570002617008456,6.335357808309936,64.90656529137203,65.19602310833925,57.94613709009146,57.522163413767956,57.94613671448813,132.79607498140018,1.0,145.39081712081702,1.0,-125.62009202667923,1.0
30,2025-01-14 15:45:36.052077,6.861980890345677,6.443006010819204,64.92783028582868,65.2138587418551,58.052189605578576,57.63055576864375,58.05218923297764,132.0200199161776,1.0,144.46554543672974,1.0,-124.61594265289477,1.0
31,2025-01-14 15:45:40.252226,6.965902178475137,6.549899405828546,64.94898380453954,65.23163328457314,58.15716671492222,57.738201408151035,58.157166345278625,131.2466230028542,1.0,143.54512422891486,1.0,-123.62686508083698,1.0
32,2025-01-14 15:45:44.812944,7.068779553177274,6.656030576677515,64.97002690350912,65.24934615624677,58.261084564748145,57.84509223057538,58.2610841980188,130.4759094888252,1.0,142.62950754903633,1.0,-122.65219582673126,1.0
33,2025-01-14 15:45:49.066047,7.088842226968296,6.7511383753365335,60.30218608905829,63.984948021190284,58.36378850580431,57.951187959702466,58.363788370266334,185.49176167567902,1.0,0.0,0.0,-45.330515268915406,1.0
34,2025-01-14 15:45:53.348595,7.111118941758255,6.843320408307125,60.320523606075895,64.00022042037045,58.383853071923774,58.04628690942002,58.38385293020494,184.82723676652353,1.0,0.0,0.0,-47.397696028497194,1.0
35,2025-01-14 15:45:58.128455,7.135654736087436,6.932532578663515,60.34027005384727,64.0154723552331,58.40613188959737,58.138460201638686,58.406131741571905,184.16360229040345,1.0,0.0,0.0,-49.50693992100241,1.0
36,2025-01-14 15:46:02.490431,7.16252068451651,7.018704989495242,60.36145256469018,64.03069892968804,58.43067003230659,58.22766367864774,58.4306698777761,183.50107128351596,1.0,0.0,0.0,-51.68253798558453,1.0
37,2025-01-14 15:46:07.052751,7.208634845726621,7.109113343144222,60.46521806906027,64.12095899287353,58.457562049861025,58.313848274212454,58.457561867970256,179.57372106295705,1.0,0.0,0.0,-60.833152647319366,1.0
38,2025-01-14 15:46:11.533473,7.2567481720178035,7.196666241971092,60.501212160399234,64.1393332882727,58.50367958370998,58.40424835915867,58.5036793962382,178.77422801429486,1.0,0.0,0.0,-62.699715035705594,1.0
39,2025-01-14 15:46:15.830626,7.307034504055173,7.281192065307483,60.53845957430569,64.15765999149727,58.551796714493804,58.49179274065374,58.551796520955726,177.97680577226447,1.0,0.0,0.0,-64.72858178028673,1.0
40,2025-01-14 15:46:20.177577,7.3598818926294465,7.362305103632148,60.577070163053996,64.17593635141395,58.602087712711906,58.57630926798208,58.6020875120242,177.18157404278665,1.0,0.0,0.0,-67.119768611974,1.0
41,2025-01-14 15:46:24.293647,7.418724506129647,7.436573658755278,60.61729355912182,64.1941597228737,58.65494679008047,58.657404651474025,58.654946572656065,176.38864792024688,1.0,0.0,0.0,-72.7173378442103,1.0
