iteration,timestamp,P79,T41,V41F,J21,V41,T42,V42F,J19,V42,J2,P1F,V_UF,P1
168.0,2025-02-03 18:03:10.779418,0.0,7.714409351348877,71.43025207519531,59.277950286865234,1.0,7.612545013427734,68.39219665527344,58.83439254760742,1.0,67.8153076171875,286.34033203125,180.17100524902344,1.0
169.0,2025-02-03 18:03:16.786422,0.0,7.774275302886963,55.8951301574707,59.22850036621094,1.0,7.672731876373291,56.19467544555664,58.90761184692383,1.0,67.74307250976562,290.14776611328125,179.9326934814453,1.0
170.0,2025-02-03 18:03:22.681454,0.0,7.8337178230285645,55.4997444152832,59.28550338745117,1.0,7.732561111450195,55.86088562011719,58.96780014038086,1.0,67.75690460205078,289.4185791015625,179.43983459472656,1.0
171.0,2025-02-03 18:03:29.153103,0.0,7.892740726470947,55.10786819458008,59.34212875366211,1.0,7.792032718658447,55.52699661254883,59.027626037597656,1.0,67.77067565917969,288.6928405761719,178.94947814941406,1.0
172.0,2025-02-03 18:03:35.104501,0.0,7.951347351074219,54.71944046020508,59.398372650146484,1.0,7.851146697998047,55.19303512573242,59.08709716796875,1.0,67.78437805175781,287.9704284667969,178.46156311035156,1.0
173.0,2025-02-03 18:03:41.406268,0.0,8.009541511535645,54.334388732910156,59.45424270629883,1.0,7.909903049468994,54.859073638916016,59.146209716796875,1.0,67.79801940917969,287.2514343261719,177.97608947753906,1.0
174.0,2025-02-03 18:03:46.922380,0.0,8.067327499389648,53.95262145996094,59.509742736816406,1.0,7.968301773071289,54.52519226074219,59.2049674987793,1.0,67.81159973144531,286.5357666015625,177.4930419921875,1.0
175.0,2025-02-03 18:03:53.221453,0.0,8.124707221984863,53.574073791503906,59.56486892700195,1.0,8.02634334564209,54.19144821166992,59.26336669921875,1.0,67.82511138916016,285.823486328125,177.0124053955078,1.0
176.0,2025-02-03 18:03:59.101478,0.0,8.181685447692871,53.19866943359375,59.61962890625,1.0,8.084027290344238,53.85791015625,59.321407318115234,1.0,67.83856201171875,285.11456298828125,176.53416442871094,1.0
177.0,2025-02-03 18:04:05.474358,0.0,8.238264083862305,52.826351165771484,59.67402267456055,1.0,8.084027290344238,53.85791015625,59.321407318115234,1.0,67.8519515991211,284.4089660644531,176.05833435058594,1.0
178.0,2025-02-03 18:04:11.442085,0.0,8.294447898864746,52.45704650878906,59.72805404663086,1.0,8.198325157165527,53.191707611083984,59.43641662597656,1.0,67.86527252197266,283.70672607421875,175.58486938476562,1.0
179.0,2025-02-03 18:04:17.638830,0.0,8.350239753723145,52.09068298339844,59.7817268371582,1.0,8.254939079284668,52.85915756225586,59.493385314941406,1.0,67.87853240966797,283.0078125,175.11376953125,1.0
180.0,2025-02-03 18:04:23.761280,0.0,8.405641555786133,51.72721481323242,59.83504104614258,1.0,8.311198234558105,52.52705764770508,59.54999923706055,1.0,67.89173126220703,282.3122253417969,174.64503479003906,1.0
181.0,2025-02-03 18:04:29.771432,0.0,8.472879409790039,62.77825164794922,59.97230529785156,1.0,8.376705169677734,61.162010192871094,59.60627746582031,1.0,67.97112274169922,278.1277770996094,173.95106506347656,1.0
182.0,2025-02-03 18:04:36.078363,0.0,8.539588928222656,62.28432083129883,60.03559875488281,1.0,8.441861152648926,60.83477783203125,59.671783447265625,1.0,67.98670196533203,277.3066101074219,173.3905792236328,1.0
183.0,2025-02-03 18:04:42.303911,0.0,8.539588928222656,62.28432083129883,60.03559875488281,1.0,8.506665229797363,60.50530242919922,59.7369384765625,1.0,68.00221252441406,276.4891662597656,172.83309936523438,1.0
184.0,2025-02-03 18:04:48.751294,0.0,8.605774879455566,61.79634094238281,60.09843444824219,1.0,8.571113586425781,60.173736572265625,59.80174255371094,1.0,68.01765441894531,275.6754150390625,172.278564453125,1.0
185.0,2025-02-03 18:04:54.473549,0.0,8.6714448928833,61.31416320800781,60.16082000732422,1.0,8.635205268859863,59.840248107910156,59.866188049316406,1.0,68.03302001953125,274.8653869628906,171.72694396972656,1.0
186.0,2025-02-03 18:05:00.449459,0.0,8.801259994506836,60.36653137207031,60.28425598144531,1.0,8.69893741607666,59.50498962402344,59.93027877807617,1.0,68.0483169555664,274.0590515136719,171.17825317382812,1.0
187.0,2025-02-03 18:05:06.486212,0.0,8.865415573120117,59.9007682800293,60.345314025878906,1.0,8.762309074401855,59.1681022644043,59.99401092529297,1.0,68.06354522705078,273.25640869140625,170.63243103027344,1.0
188.0,2025-02-03 18:05:12.355373,0.0,8.929079055786133,59.44017791748047,60.40593338012695,1.0,8.8253173828125,58.82973861694336,60.05738067626953,1.0,68.07870483398438,272.4574279785156,170.0894775390625,1.0
189.0,2025-02-03 18:05:18.716302,0.0,8.992253303527832,58.98461151123047,60.46612548828125,1.0,8.88796329498291,58.49003219604492,60.120391845703125,1.0,68.09379577636719,271.66217041015625,169.5493621826172,1.0
190.0,2025-02-03 18:05:24.849591,0.0,9.054945945739746,58.533939361572266,60.52588653564453,1.0,8.95024299621582,58.14912033081055,60.18303680419922,1.0,68.10881042480469,270.8705749511719,169.0120849609375,1.0
