iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
65,54:07.1,6.732484238,6.699881201,67.51570911,62.78635588,58.27783936,57.93043767,58.24760644,6.952606245,67.51570854,57.93043749,0,0,302.1312632,1,65.00044208,1,188.3476009,1,60.24083837,1,0
66,54:12.2,6.80150624,6.764149956,67.53072774,62.82277412,58.34263308,57.99495754,58.3126464,7.017646203,67.53072718,57.99495736,0,0,301.3396776,1,64.44383425,1,187.7989317,1,60.00586661,1,0
67,54:17.0,6.869942536,6.828160355,67.54567956,62.85905271,58.40694876,58.05922573,58.3772031,7.082202905,67.545679,58.05922555,0,0,300.5516137,1,63.89698165,1,187.2534669,1,59.76464535,1,0
68,54:22.3,6.937803169,6.891906123,67.56056509,62.89518903,58.4707919,58.12323555,58.44128225,7.146282066,67.56056453,58.12323537,0,0,299.7670436,1,63.35949895,1,186.7111371,1,59.51756863,1,0
69,54:27.4,7.005097773,6.955381361,67.57538412,62.93118022,58.5341677,58.18698073,58.50488927,7.209889087,67.57538356,58.18698055,0,0,298.9859785,1,62.83101529,1,186.1719305,1,59.26498412,1,0
70,54:32.8,6.905200437,6.865822062,57.67754255,57.6833343,57.73219209,58.25024031,57.73456139,6.439561671,57.67754258,58.25024056,0,0,0,0,-93.27123945,1,-11.80178283,1,-83.61891226,1,0
71,54:37.7,6.805617923,6.775947958,57.58205003,57.58835894,57.63563108,58.16068009,57.63796017,6.34296045,57.58205007,58.16068034,0,0,0,0,-92.97729875,1,-11.67653216,1,-83.91283847,1,0
72,54:42.9,6.706330244,6.685779013,57.48657743,57.49338785,57.53916495,58.07080512,57.54145667,6.246456944,57.48657746,58.07080538,0,0,0,0,-92.70201962,1,-11.55911871,1,-84.1881205,1,0
73,54:48.1,6.60232664,6.590663631,57.33307225,57.34118051,57.38952191,57.98062134,57.39198914,6.096989433,57.33307229,57.98062161,0,0,0,0,-97.10514133,1,-12.01002112,1,-88.80646301,1,0
74,54:53.3,6.498580348,6.495290943,57.23278124,57.24137936,57.28834087,57.88550517,57.29077458,5.995774871,57.23278128,57.88550544,0,0,0,0,-96.86489066,1,-11.90740133,1,-89.04670498,1,0
75,54:58.2,6.395075949,6.399676373,57.13251395,57.14158487,57.18724243,57.79013174,57.18964483,5.894645116,57.13251399,57.790132,0,0,0,0,-96.63904542,1,-11.81089197,1,-89.27254443,1,0
76,55:03.0,6.291799006,6.303834341,57.03227114,57.04179748,57.08622293,57.69451646,57.08859606,5.793596344,57.03227118,57.69451673,0,0,0,0,-96.42667557,1,-11.72008741,1,-89.48491428,1,0
77,55:08.3,6.188735996,6.207778372,56.93205322,56.94201748,56.98527882,57.59867377,56.98762456,5.692624844,56.93205326,57.59867404,0,0,0,0,-96.22693508,1,-11.63464286,1,-89.68465767,1,0
78,55:13.7,6.085874256,6.111521139,56.8318605,56.84224518,56.88440669,57.50261718,56.8867268,5.591727086,56.83186054,57.50261745,0,0,0,0,-96.03901272,1,-11.55421357,1,-89.87257713,1,0
