iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
32,2025-01-20 19:46:26.299916,6.951511337155719,7.175433980657968,58.1808524729377,58.210614236306895,58.18162240153675,58.52988938242525,58.18170712853606,6.8867072409184,58.18085247647017,58.52988954859004,0.0,0.0,0.0,0.0,37.58614142952865,1.0,-1.181429920507071,1.0,-55.573618257653834,1.0,0
33,2025-01-20 19:46:31.266550,6.910402187082938,7.116765194566675,58.135930263984925,58.162728360215475,58.137181719467975,58.470369490130224,58.13729158054763,6.8422916953108475,58.135930268576814,58.470369653914155,0.0,0.0,0.0,0.0,38.38242046754203,1.0,-1.5357534346094326,1.0,-54.77734211694951,1.0,0
34,2025-01-20 19:46:36.036881,6.868507905932387,7.058881548989358,58.09036588289459,58.114568999203364,58.09215221596807,58.41170229144582,58.09228784236482,6.797287959319846,58.09036588845928,58.41170245303788,0.0,0.0,0.0,0.0,39.11547152995354,1.0,-1.8611038581184403,1.0,-54.04427367068365,1.0,0
35,2025-01-20 19:46:41.001872,6.8258919293298295,7.001719594142177,58.04424419679972,58.06617491511085,58.04659684921902,58.35382008892658,58.04675834307983,6.751758462049609,58.04424420325652,58.35382024850392,0.0,0.0,0.0,0.0,39.78930159519223,1.0,-2.159468745048798,1.0,-53.37045229737214,1.0,0
36,2025-01-20 19:46:45.617785,6.782613576531452,6.945220013147143,57.9976388890739,58.01757924707247,58.00057239179747,58.296659444961605,58.00075944235104,6.705759563169929,57.997638896347674,58.29665960268981,0.0,0.0,0.0,0.0,40.407735111216425,1.0,-2.4327081678165996,1.0,-52.752010089420764,1.0,0
37,2025-01-20 19:46:50.609532,6.758569037503329,6.902575721876822,58.03726625187561,58.059497305838306,58.0371595746883,58.240184265068066,58.03716252271973,6.742162589844179,58.03726625066055,58.24018438411688,0.0,0.0,0.0,0.0,22.44969204582503,1.0,0.4063736713533217,1.0,-39.815733745740545,1.0,0
38,2025-01-20 19:46:55.449629,6.733417680287794,6.8610382519383935,58.00958663535633,58.02847516549953,58.009589346297005,58.197541670553036,58.0096020229022,6.714602093116511,58.00958663552543,58.19754178651196,0.0,0.0,0.0,0.0,23.48309265187254,1.0,-0.056555472838226706,1.0,-38.78232444776586,1.0,0
39,2025-01-20 19:47:00.402810,6.7072705162288875,6.820496581865177,57.981004386214465,57.99709862886264,57.981145941387226,58.15600569468177,57.98117248605595,6.686172559050229,57.98100438763002,58.15600580786075,0.0,0.0,0.0,0.0,24.4128507182495,1.0,-0.47343188953163917,1.0,-37.852577970625134,1.0,0
40,2025-01-20 19:47:05.395593,6.68023461284227,6.780843652224706,57.95155279403104,57.96533862105996,57.95196551712799,58.11546533196919,57.95200828024,6.657008355715331,57.95155279655373,58.11546544266711,0.0,0.0,0.0,0.0,25.242634238225037,1.0,-0.8437108846237606,1.0,-37.02278865603148,1.0,0
41,2025-01-20 19:47:10.391364,6.652407987890465,6.741981437009638,57.92139749560117,57.933275748118994,57.92215589976578,58.07581354474399,57.92221602131695,6.627216098999724,57.921397499105005,58.075813653234476,0.0,0.0,0.0,0.0,25.980912046179583,1.0,-1.1718543140659676,1.0,-36.28451664269505,1.0,0
42,2025-01-20 19:47:14.782386,6.623880121532273,6.703820474515715,57.89066846209306,57.90097024216674,57.89181067103146,58.03695232629678,57.89188843046862,6.5968885101090295,57.89066846646397,58.036952432829615,0.0,0.0,0.0,0.0,26.635640152790074,1.0,-1.4618459778148463,1.0,-35.62978274146644,1.0,0
43,2025-01-20 19:47:19.734313,6.5947323354527345,6.666279434545451,57.859471123879516,57.86846962764073,57.86101047138312,57.998792232098715,57.861105543516096,6.566105624887116,57.859471129014594,57.99879233690094,0.0,0.0,0.0,0.0,27.214441378191623,1.0,-1.7174205072478799,1.0,-35.050978618755835,1.0,0
44,2025-01-20 19:47:24.910889,6.565038169668567,6.629284763628415,57.82789154660087,57.8358118863738,57.82982440549301,57.961251947365106,57.82993605320411,6.534936136100439,57.82789155240754,57.961252050642045,0.0,0.0,0.0,0.0,27.724579276195982,1.0,-1.9420343920728556,1.0,-34.540849412678654,1.0,0
45,2025-01-20 19:47:29.820635,6.534863814574392,6.592770285319981,57.79600009202203,57.8030275521963,57.79831150162485,57.92425793242924,57.79843872232409,6.503438806560954,57.796000098417466,57.92425803436564,0.0,0.0,0.0,0.0,28.172917571964717,1.0,-2.1389471049815256,1.0,-34.09250821960086,1.0,0
46,2025-01-20 19:47:34.400370,6.504268555400268,6.556676721191112,57.76385410941641,57.7701411127936,57.766521941677496,57.88774402312446,57.766663578537866,6.471663663949762,57.763854116326755,57.887744123885795,0.0,0.0,0.0,0.0,28.56590857277297,1.0,-2.311157360850302,1.0,-33.69950852686543,1.0,0
47,2025-01-20 19:47:39.060614,6.473305225139208,6.5209512203007565,57.731500175998214,57.73717212313174,57.73449817161596,57.8516509519533,57.73465299581728,6.439653082256689,57.73150018335791,57.851651051687135,0.0,0.0,0.0,0.0,28.90955840030074,1.0,-2.4614407817580286,1.0,-33.35586159664672,1.0,0
48,2025-01-20 19:47:43.860084,6.44202074747314,6.485546864928553,57.69897631249091,57.70413639852667,57.70227623472402,57.815925877670566,57.70244300481713,6.407443092153073,57.69897632024198,57.81592597650786,0.0,0.0,0.0,0.0,29.209403812160417,1.0,-2.5923354104406826,1.0,-33.05601618478704,1.0,0
49,2025-01-20 19:47:48.594213,6.381081332436514,6.425498934948819,57.492231752080215,57.498774576732856,57.50980210489493,57.78047954204237,57.510598762655746,6.215598932778524,57.492231771201645,57.780479709676406,0.0,0.0,0.0,0.0,56.8973611018464,1.0,-6.395140470090155,1.0,-56.065004771426175,1.0,0
50,2025-01-20 19:47:53.389244,6.320180205255669,6.365412716716057,57.43163707280892,57.43824555522647,57.449129126888074,57.720431532652405,57.4499228103229,6.154922980338789,57.43163709188435,57.72043170039331,0.0,0.0,0.0,0.0,56.86161120536326,1.0,-6.379755758985084,1.0,-56.100748873291195,1.0,0
