iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
403,2025-12-25 19:33:58.001585,9.609071603478707,9.668098489844974,60.35873415918479,60.3704296896108,60.40006370177565,60.96295584688355,60.40191404943347,0.0,0.0,0.0,0.0,0.0,0.0,0,0
404,2025-12-25 19:34:03.478975,9.515384228079759,9.577909005919922,60.266432154242835,60.27836595065122,60.30744138099077,60.872766051965236,60.30927959956266,0.0,0.0,0.0,0.0,0.0,0.0,0,0
405,2025-12-25 19:34:09.036866,9.421802975156593,9.487613401826062,60.17414908387259,60.18630854567923,60.214858679796656,60.78247015573401,60.21668554910922,0.0,0.0,0.0,0.0,0.0,0.0,0,0
406,2025-12-25 19:34:14.278706,9.328321313817224,9.397218208457563,60.081885487507314,60.09425777735826,60.12231418413613,60.69207468793146,60.124130412118895,0.0,0.0,0.0,0.0,0.0,0.0,0,0
407,2025-12-25 19:34:19.188297,9.234933165111714,9.306729504764215,59.98963776055018,60.00221225589318,60.02980411236961,60.60158572641521,60.03161039762329,0.0,0.0,0.0,0.0,0.0,0.0,0,0
408,2025-12-25 19:34:24.521744,9.141632750447123,9.216153069331623,59.786637841074906,59.80088393764807,59.835652819957325,60.510982282282356,59.83784978778571,0.0,0.0,0.0,0.0,0.0,0.0,0,0
409,2025-12-25 19:34:30.132590,9.03860607943746,9.116753843253699,59.68504621616977,59.69954037651838,59.733729669319075,60.411582733685634,59.73591408177799,0.0,0.0,0.0,0.0,0.0,0.0,0,0
410,2025-12-25 19:34:35.049869,8.935680764906268,9.017253263240521,59.58347130548934,59.59820230692617,59.63184353648796,60.31208184915618,59.63401615759898,0.0,0.0,0.0,0.0,0.0,0.0,0,0
411,2025-12-25 19:34:39.883245,8.832851022704224,8.917657113434084,59.48191409207448,59.49687020146009,59.52999347351603,60.212485411817475,59.532154996532,0.0,0.0,0.0,0.0,0.0,0.0,0,0
412,2025-12-25 19:34:45.368235,8.730111451208538,8.817970795469051,59.38037384924389,59.395543833469205,59.42817760641132,60.112798822345354,59.430328681569954,0.0,0.0,0.0,0.0,0.0,0.0,0,0
413,2025-12-25 19:34:50.914012,8.627456961518062,8.718199398236704,59.2788498634287,59.29422297798203,59.326394152241726,60.01302716872782,59.32853538965955,0.0,0.0,0.0,0.0,0.0,0.0,0,0
414,2025-12-25 19:34:56.994218,8.52488275855718,8.618347716817924,59.17734143547176,59.19290741232597,59.22464141482481,59.913175245194424,59.2267733871895,0.0,0.0,0.0,0.0,0.0,0.0,0,0
415,2025-12-25 19:35:02.278989,8.422384323377443,8.51842027015797,59.075847882675674,59.09159691711508,59.122917781266814,59.81324756988807,59.12504102632623,0.0,0.0,0.0,0.0,0.0,0.0,0,0
416,2025-12-25 19:35:07.387337,8.319957396604527,8.418421317625883,58.97436854044111,58.99029127709394,59.02122171857528,59.71324840142149,59.023336741440616,0.0,0.0,0.0,0.0,0.0,0.0,0,0
417,2025-12-25 19:35:12.597796,8.217597962951647,8.318354874513918,58.87290276349771,58.88899028180347,58.919551770293,59.61318175437381,58.92165904557215,0.0,0.0,0.0,0.0,0.0,0.0,0,0
418,2025-12-25 19:35:18.045982,8.11530223672061,8.218224726519166,58.771449926797715,58.78769372609734,58.81790655318826,59.51305141376975,58.82000652696369,0.0,0.0,0.0,0.0,0.0,0.0,0,0
419,2025-12-25 19:35:23.939912,8.013066648219937,8.118034443328726,58.67000942614767,58.68640141055772,58.71628475403493,59.412860948662384,58.71837784569905,0.0,0.0,0.0,0.0,0.0,0.0,0,0
420,2025-12-25 19:35:29.513189,7.910887831037478,8.017787391368207,58.917398073015214,58.929837284983655,58.93518349104981,59.31269824829321,58.93602082505521,0.0,0.0,0.0,0.0,0.0,0.0,0,0
421,2025-12-25 19:35:34.313059,7.84389011323691,7.947816590666555,58.849319680906525,58.86149978162515,58.86733812539071,59.24272771249349,58.86818441075833,0.0,0.0,0.0,0.0,0.0,0.0,0,0
422,2025-12-25 19:35:39.303171,7.7767800477972315,7.877958139317863,58.78120711524121,58.7931497057313,58.799442413379396,59.17286950600199,58.80029702268962,0.0,0.0,0.0,0.0,0.0,0.0,0,0
423,2025-12-25 19:35:44.575177,7.709565998951075,7.808203673091203,58.713063424586274,58.724788208763925,58.731500398924354,59.10311526608383,58.73236274439458,0.0,0.0,0.0,0.0,0.0,0.0,0,0
424,2025-12-25 19:35:49.869693,7.642255726303671,7.738545432375873,58.64489136475851,58.65641632767709,58.663515791491044,59.0334572345157,58.66438532312559,0.0,0.0,0.0,0.0,0.0,0.0,0,0
425,2025-12-25 19:35:55.078510,7.574856425981666,7.66897622105601,58.57669342913583,58.58803499727305,58.595491994839264,58.96388821646784,58.596368198559674,0.0,0.0,0.0,0.0,0.0,0.0,0,0
426,2025-12-25 19:35:59.914849,7.507374769340913,7.599489367792533,58.50847187569054,58.519645061162876,58.52743213323093,58.8944015417929,58.52831452900841,0.0,0.0,0.0,0.0,0.0,0.0,0,0
