iteration,timestamp,P79,T41,T42,P1,J2,J13,V1F,V2F
133.0,2024-12-25 13:06:42.596914,0.0,10.470054626464844,7.532324314117432,1.0,61.72960662841797,58.744346618652344,194.93222045898438,-57.83818817138672
134.0,2024-12-25 13:06:50.747836,0.0,10.525277137756348,7.614715099334717,1.0,61.78607177734375,58.82744598388672,192.8495635986328,-55.098793029785156
135.0,2024-12-25 13:06:59.013340,0.0,10.57869815826416,7.696362495422363,1.0,61.84066390991211,58.90983200073242,192.8495635986328,-54.724815368652344
136.0,2024-12-25 13:07:15.427598,0.0,10.668000221252441,7.777235984802246,1.0,61.944698333740234,59.072349548339844,187.170166015625,-53.50260925292969
137.0,2024-12-25 13:07:23.507353,0.0,10.668000221252441,7.837290287017822,1.0,62.659000396728516,59.13245391845703,147.2025604248047,-62.39213180541992
138.0,2024-12-25 13:07:30.712828,0.0,10.668000221252441,7.958064556121826,1.0,62.667381286621094,59.15668487548828,147.0438690185547,-62.18619918823242
139.0,2024-12-25 13:07:38.741184,0.0,10.668000221252441,8.053044319152832,1.0,62.70088195800781,59.25322341918945,146.40953063964844,-62.18619918823242
140.0,2024-12-25 13:07:46.987284,0.0,10.668000221252441,8.146479606628418,1.0,62.7340202331543,59.34819793701172,146.40953063964844,-61.36300277709961
141.0,2024-12-25 13:07:55.161940,0.0,10.668000221252441,8.238388061523438,1.0,62.7340202331543,59.34819793701172,145.78204345703125,-59.7432975769043
142.0,2024-12-25 13:08:03.451997,0.0,10.668000221252441,8.238388061523438,1.0,62.79920959472656,59.533531188964844,144.54762268066406,-58.94677734375
143.0,2024-12-25 13:08:11.614386,0.0,10.668000221252441,8.32878589630127,1.0,62.83126449584961,59.623924255371094,143.94068908691406,-58.159141540527344
144.0,2024-12-25 13:08:19.893051,0.0,10.668000221252441,8.50511646270752,1.0,62.862953186035156,59.712825775146484,143.340576171875,-57.380367279052734
145.0,2024-12-25 13:08:27.125472,0.0,10.668000221252441,8.602705955505371,1.0,63.0552864074707,59.8002815246582,134.85887145996094,-61.41901397705078
146.0,2024-12-25 13:08:35.145976,0.0,10.668000221252441,8.69867992401123,1.0,63.08993148803711,59.897865295410156,134.20286560058594,-61.41901397705078
147.0,2024-12-25 13:08:43.253843,0.0,10.668000221252441,8.793058395385742,1.0,63.08993148803711,59.897865295410156,134.20286560058594,-60.567691802978516
148.0,2024-12-25 13:08:51.111678,0.0,10.668000221252441,8.885856628417969,1.0,63.124202728271484,59.99383544921875,132.9121856689453,-58.89274978637695
149.0,2024-12-25 13:08:59.336781,0.0,10.668000221252441,8.885856628417969,1.0,63.191612243652344,60.18100357055664,132.27749633789062,-58.069114685058594
150.0,2024-12-25 13:09:07.293723,0.0,10.668000221252441,8.977092742919922,1.0,63.224754333496094,60.27223205566406,131.64993286132812,-57.25469970703125
151.0,2024-12-25 13:09:14.876009,0.0,10.668000221252441,9.154948234558105,1.0,63.25752258300781,60.36191940307617,131.0294647216797,-56.44949722290039
152.0,2024-12-25 13:09:22.934664,0.0,10.668000221252441,9.24160385131836,1.0,63.2899169921875,60.45008087158203,130.41607666015625,-56.44949722290039
153.0,2024-12-25 13:09:31.207912,0.0,10.668000221252441,9.326766014099121,1.0,63.2899169921875,60.45008087158203,130.41607666015625,-55.65350341796875
154.0,2024-12-25 13:09:39.172941,0.0,10.668000221252441,9.410453796386719,1.0,63.321937561035156,60.5367317199707,129.2105712890625,-54.089111328125
155.0,2024-12-25 13:09:47.424615,0.0,10.668000221252441,9.410453796386719,1.0,63.38485336303711,60.70557403564453,128.61843872070312,-53.320674896240234
156.0,2024-12-25 13:09:55.440692,0.0,10.668000221252441,9.492685317993164,1.0,63.41575241088867,60.78779983520508,128.0333709716797,-52.5614128112793
157.0,2024-12-25 13:10:02.570741,0.0,10.668000221252441,9.6609525680542,1.0,63.55295944213867,60.86861038208008,122.12511444091797,-55.18440628051758
158.0,2024-12-25 13:10:10.527883,0.0,10.668000221252441,9.746898651123047,1.0,63.585819244384766,60.956085205078125,121.5029525756836,-54.37700271606445
159.0,2024-12-25 13:10:18.853789,0.0,10.668000221252441,9.831331253051758,1.0,63.618289947509766,61.04202651977539,120.88805389404297,-54.37700271606445
160.0,2024-12-25 13:10:27.071941,0.0,10.668000221252441,9.914268493652344,1.0,63.6503791809082,61.1264533996582,120.88805389404297,-53.579044342041016
161.0,2024-12-25 13:10:35.108368,0.0,10.668000221252441,9.995728492736816,1.0,63.6503791809082,61.1264533996582,120.28043365478516,-52.01142883300781
162.0,2024-12-25 13:10:43.433681,0.0,10.668000221252441,9.995728492736816,1.0,63.713409423828125,61.29084396362305,119.08698272705078,-51.24175262451172
163.0,2024-12-25 13:10:51.478414,0.0,10.668000221252441,10.075728416442871,1.0,63.744346618652344,61.3708381652832,118.50112915039062,-50.48149108886719
164.0,2024-12-25 13:10:58.134870,0.0,10.668000221252441,10.231420516967773,1.0,63.774906158447266,61.44939422607422,117.92252349853516,-49.73060989379883
165.0,2024-12-25 13:11:06.081214,0.0,10.668000221252441,10.307147979736328,1.0,63.80508041381836,61.52652359008789,117.35113525390625,-49.73060989379883
166.0,2024-12-25 13:11:14.120749,0.0,10.668000221252441,10.381487846374512,1.0,63.834877014160156,61.60224914550781,117.35113525390625,-48.98910903930664
167.0,2024-12-25 13:11:22.532829,0.0,10.668000221252441,10.454456329345703,1.0,63.834877014160156,61.60224914550781,116.78695678710938,-47.5341796875
168.0,2024-12-25 13:11:30.908448,0.0,10.668000221252441,10.526071548461914,1.0,63.864288330078125,61.67658233642578,115.68018341064453,-46.82069396972656
169.0,2024-12-25 13:11:39.052273,0.0,10.668000221252441,10.526071548461914,1.0,63.7027473449707,61.82112503051758,126.4424057006836,-38.54867935180664
170.0,2024-12-25 13:11:55.491010,0.0,10.668000221252441,10.668000221252441,1.0,63.74571228027344,61.924564361572266,125.62882995605469,-37.49290466308594
171.0,2024-12-25 13:12:03.580203,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164154052734,-37.49290466308594
172.0,2024-12-25 13:12:11.507769,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164154052734,-11.010915756225586
173.0,2024-12-25 13:12:19.514617,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164154052734,-11.010956764221191
174.0,2024-12-25 13:12:27.410156,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164916992188,-11.010951042175293
175.0,2024-12-25 13:12:35.421216,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164916992188,-11.010951042175293
176.0,2024-12-25 13:12:43.356011,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164154052734,-11.010951042175293
177.0,2024-12-25 13:12:51.489890,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164154052734,-11.010956764221191
178.0,2024-12-25 13:12:59.521952,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164154052734,-11.010956764221191
179.0,2024-12-25 13:13:07.545881,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164154052734,-11.010956764221191
180.0,2024-12-25 13:13:15.355993,0.0,10.668000221252441,10.668000221252441,1.0,64.82344818115234,64.21429443359375,105.22164916992188,-11.010956764221191
181.0,2024-12-25 13:13:23.704288,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.11460876464844,-9.534638404846191
182.0,2024-12-25 13:13:31.811981,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.11460876464844,-9.534632682800293
183.0,2024-12-25 13:13:39.449089,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.11460876464844,-9.534626960754395
184.0,2024-12-25 13:13:47.274244,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.11460876464844,-9.534626960754395
185.0,2024-12-25 13:13:55.267710,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.11460876464844,-9.534626960754395
186.0,2024-12-25 13:14:03.483972,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.11460876464844,-9.534632682800293
187.0,2024-12-25 13:14:11.363483,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.1146011352539,-9.534626960754395
188.0,2024-12-25 13:14:19.934652,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.1146011352539,-9.534626960754395
189.0,2024-12-25 13:14:28.155764,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.11460876464844,-9.534632682800293
190.0,2024-12-25 13:14:35.405137,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.1146011352539,-9.534626960754395
191.0,2024-12-25 13:14:43.526013,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.1146011352539,-9.534626960754395
