iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,T41MiM
62,2024-12-25 12:57:08.831617,6.38785408676558,6.155935661610197,57.81122707491453,57.467043362017115,57.811227179488824,57.467043354711485,57.82495441841001,0.0,0.0,0.0,0.0,-34.97475041740472,1.0,-2.4433586759187165,1.0,0
63,2024-12-25 12:57:17.004242,6.255192759712575,6.130050606641351,57.67151410200125,57.45092151942197,57.671514191171326,57.45092152749937,57.68256259645184,0.0,0.0,0.0,0.0,-29.822827880821023,1.0,2.7014770427058465,1.0,0
64,2024-12-25 12:57:24.977697,6.133031549820098,6.093665431501631,57.54147188176318,57.42502402777677,57.54147195438064,57.42502405242141,57.54994255117849,0.0,0.0,0.0,0.0,-24.28682356878653,1.0,8.242372012432497,1.0,0
65,2024-12-25 12:57:33.153661,6.023375141002595,6.044775454882872,57.422010298908454,57.38861949516951,57.42201035181347,57.38861953952744,57.42782669573945,0.0,0.0,0.0,0.0,-17.694019982741338,1.0,14.835459534765505,1.0,0
66,2024-12-25 12:57:39.424339,5.9374468635707105,5.972157339620531,57.31617129136391,57.33967988333426,57.31617130686677,57.339679965099876,57.318244727762725,0.0,0.0,0.0,0.0,-5.184914194842349,1.0,27.34641380584435,1.0,0
67,2024-12-25 12:57:47.728374,6.3076864637683965,5.946073027592251,57.48547966521307,57.26714299494243,57.48547835083123,57.26714300334842,57.23439730039812,0.0,0.0,469.35770066779804,1.0,439.5934550353786,1.0,2.811374872635497,1.0,0
68,2024-12-25 12:57:55.969874,6.637165257088335,5.94436910873758,57.81250948571051,57.241072967329536,57.81250825549363,57.24107293730892,57.60425797654199,0.0,0.0,454.06378553842336,1.0,411.44457933398826,1.0,-10.040357992693316,1.0,0
69,2024-12-25 12:58:04.136500,6.937136310438447,5.958167242477136,58.11304382739657,57.23937357126823,58.113042660717745,57.239373516809,57.9334861042542,0.0,0.0,440.98708725735906,1.0,390.1943558548737,1.0,-18.2138262010767,1.0,0
70,2024-12-25 12:58:12.212804,7.212597761851607,5.983545563339167,58.390483597801854,57.25318094114534,58.390482485473335,57.253180868429766,58.23326427193823,0.0,0.0,428.91526828185124,1.0,372.0169604179091,1.0,-24.319635593883504,1.0,0
71,2024-12-25 12:58:20.212149,7.026129858447329,6.011467054028694,58.478017424683706,57.27856190228681,58.47801759857964,57.2785618255619,58.50705016570044,0.0,0.0,0.0,0.0,-58.159289857258045,1.0,-25.66055368617981,1.0,0
72,2024-12-25 12:58:28.374255,6.848561781106884,6.030488733028609,58.29510801779237,57.3064751053193,58.29510817775606,57.30647504262515,58.32062967951292,0.0,0.0,0.0,0.0,-53.49966648680038,1.0,-20.96798501440844,1.0,0
73,2024-12-25 12:58:35.803382,6.675064340751513,6.037353864223203,58.12011348764042,57.32548998819813,58.12011363506951,57.32548994300045,58.143082630121434,0.0,0.0,0.0,0.0,-49.307486268048706,1.0,-15.11631018843218,1.0,0
74,2024-12-25 12:58:43.975685,6.510717865980438,6.0350680366184495,57.9498870343086,57.33235373714274,57.94988716731138,57.33235370637125,57.96963093979637,0.0,0.0,0.0,0.0,-44.482620670009965,1.0,-10.29148805002933,1.0,0
75,2024-12-25 12:58:51.851475,6.355685998225311,6.023467591841668,57.788635955931596,57.33006485595657,57.78863607425014,57.33006483986875,57.80532885552866,0.0,0.0,0.0,0.0,-39.57149928396575,1.0,-5.380552091764912,1.0,0
76,2024-12-25 12:58:59.910984,6.210230897426247,6.002290392420399,57.63653704795095,57.31845784720042,57.636537151172135,57.31845784620744,57.65034031712006,0.0,0.0,0.0,0.0,-34.52220233157277,1.0,-0.3321011536172591,1.0,0
