iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,T41MiM
142,2024-12-24 16:13:50.002415,10.668000000000001,10.668000000000001,79.04825546040131,78.89086775563408,78.92894158080196,78.82896141061948,78.92894158080193,0.0,0.0,37.18686662217457,1.0,1
143,2024-12-24 16:13:56.821992,10.668000000000001,10.668000000000001,79.04825534788074,78.89086757092969,78.92894125909157,78.82896116493484,78.92894125909152,0.0,0.0,37.18688757037096,1.0,1
144,2024-12-24 16:14:03.622521,10.668000000000001,10.668000000000001,79.04825547056656,78.89086777232056,78.92894160986586,78.82896143281505,78.9289416098658,0.0,0.0,37.18686472968706,1.0,1
145,2024-12-24 16:14:10.692634,10.668000000000001,10.668000000000001,79.07161580072673,78.94660876048628,78.976849396961,78.89743925111887,78.97684939696093,0.0,0.0,32.83782227946219,1.0,1
146,2024-12-24 16:14:17.561912,10.668000000000001,10.668000000000001,79.07161584579826,78.94660883156476,78.97684951740092,78.89743934416771,78.97684951740088,0.0,0.0,32.83781388839738,1.0,1
147,2024-12-24 16:14:24.539015,10.668000000000001,10.668000000000001,79.07161590833208,78.94660893018153,78.97684968450362,78.89743947326696,78.97684968450356,0.0,0.0,32.837802246343195,1.0,1
148,2024-12-24 16:14:31.499891,10.668000000000001,10.668000000000001,79.07161579580558,78.9466087527256,78.9768493838108,78.89743924095936,78.97684938381073,0.0,0.0,32.83782319563767,1.0,1
149,2024-12-24 16:14:38.628001,10.668000000000001,10.668000000000001,79.0716158184956,78.94660878850806,78.97684944444296,78.89743928780221,78.9768494444429,0.0,0.0,32.837818971390035,1.0,1
150,2024-12-24 16:14:45.005221,10.668000000000001,10.668000000000001,79.07161587168261,78.94660887238476,78.976849586569,78.8974393976052,78.97684958656893,0.0,0.0,32.83780906945098,1.0,1
151,2024-12-24 16:14:51.517155,10.668000000000001,10.668000000000001,79.07161587758833,78.94660888169813,78.97684960235023,78.89743940979733,78.97684960235019,0.0,0.0,32.83780796997144,1.0,1
152,2024-12-24 16:14:58.268285,10.668000000000001,10.668000000000001,79.07161581587688,78.9466087843783,78.97684943744517,78.89743928239594,78.97684943744511,0.0,0.0,32.83781945892023,1.0,1
153,2024-12-24 16:15:05.157492,10.668000000000001,10.668000000000001,79.07161579564274,78.94660875246873,78.97684938337558,78.89743924062306,78.97684938337551,0.0,0.0,32.83782322595511,1.0,1
154,2024-12-24 16:15:11.995948,10.668000000000001,10.668000000000001,79.07161577455754,78.94660871921704,78.97684932703174,78.89743919709328,78.97684932703166,0.0,0.0,32.837827151432236,1.0,1
155,2024-12-24 16:15:18.930967,10.668000000000001,10.668000000000001,79.07161583912215,78.94660882103645,78.97684949956117,78.89743933038511,78.97684949956111,0.0,0.0,32.8378151313024,1.0,1
156,2024-12-24 16:15:25.687466,10.668000000000001,10.668000000000001,79.07161584100699,78.94660882400886,78.97684950459777,78.89743933427629,78.97684950459771,0.0,0.0,32.83781478039771,1.0,1
157,2024-12-24 16:15:32.297923,10.668000000000001,10.668000000000001,79.08759309478951,78.98274402694061,79.00810842208604,78.94150360631676,79.00810842208598,0.0,0.0,29.863295393820824,1.0,1
158,2024-12-24 16:15:38.892133,10.668000000000001,10.668000000000001,79.08759306042258,78.98274397428453,79.008108334717,78.94150353821024,79.00810833471692,0.0,0.0,29.863301791983186,1.0,1
159,2024-12-24 16:15:45.444376,10.668000000000001,10.668000000000001,79.08759311822536,78.98274406284844,79.0081084816658,78.94150365276077,79.00810848166577,0.0,0.0,29.86329103071965,1.0,1
160,2024-12-24 16:15:52.071147,10.668000000000001,10.668000000000001,79.08759307247279,78.98274399274746,79.00810836535146,78.94150356209062,79.0081083653514,0.0,0.0,29.863299548576503,1.0,1
161,2024-12-24 16:15:58.318671,10.668000000000001,10.668000000000001,79.08759305373555,78.98274396403879,79.00810831771688,78.9415035249582,79.00810831771683,0.0,0.0,29.863303036927917,1.0,1
162,2024-12-24 16:16:04.750024,10.668000000000001,10.668000000000001,79.08759301628855,78.98274390666347,79.00810822251741,78.9415034507477,79.00810822251734,0.0,0.0,29.863310008508307,1.0,1
163,2024-12-24 16:16:11.064529,10.668000000000001,10.668000000000001,79.08759310789328,78.9827440470179,79.00810845539917,78.94150363228522,79.00810845539914,0.0,0.0,29.863292954263418,1.0,1
164,2024-12-24 16:16:17.563013,10.668000000000001,10.668000000000001,79.08759305906618,78.98274397220625,79.00810833126857,78.94150353552212,79.00810833126852,0.0,0.0,29.863302044509748,1.0,1
165,2024-12-24 16:16:24.577820,10.668000000000001,10.668000000000001,79.08759303651128,78.98274393764824,79.00810827392851,78.94150349082405,79.00810827392846,0.0,0.0,29.863306243605845,1.0,1
166,2024-12-24 16:16:31.513439,10.668000000000001,10.668000000000001,79.08759311089325,78.98274405161438,79.00810846302578,78.94150363823036,79.00810846302575,0.0,0.0,29.863292395754947,1.0,1
167,2024-12-24 16:16:38.320890,10.668000000000001,10.668000000000001,79.08759303889363,78.98274394129841,79.0081082799851,78.94150349554528,79.00810827998502,0.0,0.0,29.863305800077082,1.0,1
168,2024-12-24 16:16:45.221815,10.668000000000001,10.668000000000001,79.08759304966692,78.98274395780496,79.0081083073734,78.9415035168952,79.00810830737335,0.0,0.0,29.86330379438881,1.0,1
169,2024-12-24 16:16:52.094788,10.668000000000001,10.668000000000001,79.05306445950414,78.90262231123258,78.93901600375044,78.84344799613474,78.9390160037504,0.0,0.0,36.291565010511654,1.0,1
170,2024-12-24 16:16:58.886009,10.668000000000001,10.668000000000001,79.05306443167633,78.90262226591959,78.93901592525027,78.84344793605041,78.93901592525022,0.0,0.0,36.291570191276904,1.0,1
171,2024-12-24 16:17:05.854734,10.668000000000001,10.668000000000001,79.0530643405327,78.90262211750728,78.93901566814127,78.84344773925805,78.93901566814122,0.0,0.0,36.29158715968322,1.0,1
