iteration,timestamp,J1,P1F,V1F,P1
136,2025-12-04 17:30:43.966640,56.46288757727868,0.0,-6.951139873194734,0
137,2025-12-04 17:30:46.876438,56.367913028608555,0.0,-7.117819166069239,0
138,2025-12-04 17:30:49.958872,56.27274768157407,0.0,-7.275905040273756,0
139,2025-12-04 17:30:53.152429,56.17740572991834,0.0,-7.425800221767531,0
140,2025-12-04 17:30:56.516883,69.35209705929589,205.34095327124965,218.31467136053107,1
141,2025-12-04 17:30:58.947786,69.3664198475652,204.58604355160605,217.4937883739858,1
142,2025-12-04 17:31:01.861815,69.38071421817973,203.8326316383538,216.67306763674787,1
143,2025-12-04 17:31:04.466234,69.39497884718593,203.08078731297587,215.85260186270716,1
144,2025-12-04 17:31:07.667807,69.45329691059372,200.00702317784476,214.47035365667944,1
145,2025-12-04 17:31:09.917666,56.74349617141926,0.0,-4.893552103908405,0
146,2025-12-04 17:31:12.988566,56.66121185525669,0.0,-5.126939040565048,0
147,2025-12-04 17:31:16.006718,56.5786096785483,0.0,-5.347464822307302,0
148,2025-12-04 17:31:19.085261,56.495715045270785,0.0,-5.555749473273863,0
149,2025-12-04 17:31:22.139858,56.41255276441297,0.0,-5.7523869418218965,0
150,2025-12-04 17:31:24.740730,69.41224520426087,202.17073121680158,216.79126625713252,1
151,2025-12-04 17:31:27.867879,69.42760783275085,201.3610147462184,215.90938332565202,1
152,2025-12-04 17:31:30.863770,69.44293563112079,200.55313406316742,215.0282768729994,1
153,2025-12-04 17:31:33.914503,69.45822769626493,199.74713676755306,214.14801063997402,1
154,2025-12-04 17:31:37.071316,69.47348328257367,198.94306215814214,213.26868313508385,1
155,2025-12-04 17:31:40.060661,56.89489577048196,0.0,-5.047772967827768,0
156,2025-12-04 17:31:43.178070,56.88997642262246,0.0,-3.9711416133059174,0
157,2025-12-04 17:31:46.049630,56.81582888714932,0.0,-4.229625041034524,0
158,2025-12-04 17:31:48.590261,56.74130548242125,0.0,-4.472891801583501,0
159,2025-12-04 17:31:51.590148,56.6664401080179,0.0,-4.701721271089809,0
160,2025-12-04 17:31:54.404425,69.46730365446955,199.26877117735447,214.90992759254368,1
161,2025-12-04 17:31:57.428749,69.48333547775013,198.42378352616967,213.98873976636423,1
162,2025-12-04 17:32:00.468075,69.49932991884252,197.58076617411024,213.06859497144615,1
163,2025-12-04 17:32:03.237760,69.5152859394053,196.73977384893013,212.14956853782496,1
164,2025-12-04 17:32:06.169636,69.53120286500096,195.90084209813864,211.2317242063,1
165,2025-12-04 17:32:09.151452,57.18023203451554,0.0,-3.9748936285377567,0
166,2025-12-04 17:32:11.565361,57.10607892517614,0.0,-4.233153963468794,0
167,2025-12-04 17:32:14.212665,57.03155048113623,0.0,-4.476215015074558,0
168,2025-12-04 17:32:16.986511,56.77786652652112,0.0,-7.3552159784640025,0
169,2025-12-04 17:32:19.729769,56.68454473480464,0.0,-7.491033135238467,0
170,2025-12-04 17:32:22.609955,69.42491999892468,201.50268212564262,214.4094811933428,1
171,2025-12-04 17:32:25.538788,69.43920271056932,200.74988472050967,213.59229517315725,1
172,2025-12-04 17:32:28.461735,69.45345786245043,199.998539904983,212.77516130453478,1
173,2025-12-04 17:32:31.716350,69.46768423209907,199.2487121116061,211.95816650674715,1
174,2025-12-04 17:32:34.805559,69.48188052623534,198.50046950514752,211.14140349368427,1
175,2025-12-04 17:32:37.861071,57.11012543198876,0.0,-6.710703783596728,0
176,2025-12-04 17:32:40.869238,57.017522586668925,0.0,-6.880613576072392,0
177,2025-12-04 17:32:44.079827,56.92472314389162,0.0,-7.0416025539543625,0
178,2025-12-04 17:32:47.260811,56.83174215948909,0.0,-7.194096621674362,0
179,2025-12-04 17:32:50.418016,56.73859320929493,0.0,-7.338501402500697,0
180,2025-12-04 17:32:53.659021,69.48209495435947,198.4891676641917,213.3267336193967,1
181,2025-12-04 17:32:56.634969,69.49762375472511,197.67069278974643,212.43468113311792,1
182,2025-12-04 17:32:59.707394,69.51311640868771,196.85412308002878,211.54350363417507,1
183,2025-12-04 17:33:02.576680,69.5285718462823,196.039514929569,210.65328804183991,1
184,2025-12-04 17:33:05.473073,69.54398958117642,195.2268939714427,209.76409230229365,1
185,2025-12-04 17:33:08.413679,57.34991280344274,0.0,-4.6031113572553295,0
186,2025-12-04 17:33:11.143190,57.27127512239901,0.0,-4.83956364689675,0
187,2025-12-04 17:33:14.007706,57.19231171211998,0.0,-5.062526065557904,0
188,2025-12-04 17:33:16.796857,57.113050322712546,0.0,-5.272662097013381,0
189,2025-12-04 17:33:19.539535,57.03351678141562,0.0,-5.470617841183412,0
190,2025-12-04 17:33:22.530464,69.50469272415998,197.29810934901582,211.98374395112296,1
191,2025-12-04 17:33:25.552879,69.52013286710302,196.4843073321737,211.09730065518306,1
192,2025-12-04 17:33:28.434664,69.52944250596885,195.9936251595379,210.2955630869019,1
193,2025-12-04 17:33:31.389839,69.5446561522983,195.19176107627794,209.41996152146203,1
194,2025-12-04 17:33:34.688011,69.55983288612808,194.39184253631788,208.54526391644868,1
195,2025-12-04 17:33:37.861449,57.49454061426093,0.0,-4.985283806036023,0
196,2025-12-04 17:33:40.485327,57.41401661477694,0.0,-5.205763230833327,0
