iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2,ScadaCommand_PU1,T1S,ScadaCommand_PU2
176,2025-02-21 00:28:48.570135,4.421742916107178,114.015984679399,0.0,2.99066535358285,25.1845468315575,1,0,1.0,4.421742916107178,0.0
177,2025-02-21 00:29:38.187957,4.407458782196045,113.457991290812,0.0,2.9907497839709,25.5018541621225,1,0,1.0,4.421742916107178,0.0
178,2025-02-21 00:30:26.896280,4.393189430236816,113.477753478061,0.0,2.99074679778645,25.490626065413,1,0,1.0,4.393189430236816,0.0
179,2025-02-21 00:31:16.051102,4.378933906555176,113.497503433636,0.0,2.99074381768398,25.4794038774331,1,0,1.0,4.393189430236816,0.0
180,2025-02-21 00:32:06.412440,4.3646931648254395,113.517228199782,0.0,2.99074084012931,25.4681953048434,1,0,1.0,4.378933906555176,0.0
181,2025-02-21 00:32:56.487089,4.3516669273376465,113.330559412131,0.0,2.99076901548534,25.5742413844104,1,0,1.0,4.3646931648254395,0.0
182,2025-02-21 00:33:47.339582,4.338654041290283,113.34861807983,0.0,2.99076629268854,25.563985280518,1,0,1.0,4.3516669273376465,0.0
183,2025-02-21 00:34:36.429257,4.325654029846191,113.366660738695,0.0,2.99076356665392,25.5537373915125,1,0,1.0,4.338654041290283,0.0
184,2025-02-21 00:35:22.264688,4.3126678466796875,113.384690023691,0.0,2.99076084624695,25.5434965206472,1,0,1.0,4.325654029846191,0.0
185,2025-02-21 00:36:13.702054,4.299694538116455,113.402694955599,0.0,2.99075813016208,25.5332689027471,1,0,1.0,4.3126678466796875,0.0
186,2025-02-21 00:37:04.494896,4.286734580993652,113.420678850398,0.0,2.99075541656812,25.5230526555668,1,0,1.0,4.299694538116455,0.0
187,2025-02-21 00:37:55.081523,4.273787498474121,113.438651365063,0.0,2.99075270245182,25.5128422934659,1,0,1.0,4.286734580993652,0.0
188,2025-02-21 00:38:44.258440,4.2608537673950195,113.456601100566,0.0,2.99074999226777,25.5026442961062,1,0,1.0,4.273787498474121,0.0
189,2025-02-21 00:39:35.209657,4.247933387756348,113.474533636422,0.0,2.99074728508186,25.4924554959686,1,0,1.0,4.247933387756348,0.0
190,2025-02-21 00:40:24.139708,4.2350263595581055,113.492442990965,0.0,2.99074458017399,25.4822792916848,1,0,1.0,4.247933387756348,0.0
191,2025-02-21 00:41:13.552691,4.222132205963135,113.510340190922,0.0,2.99074187724908,25.4721094214734,1,0,1.0,4.2350263595581055,0.0
192,2025-02-21 00:42:03.219369,4.209251403808594,113.528209758118,0.0,2.99073917814692,25.4619546812424,1,0,1.0,4.209251403808594,0.0
193,2025-02-21 00:42:51.710623,4.193280220031738,114.064079934689,0.0,2.99065805863247,25.157170539532,1,0,1.0,4.209251403808594,0.0
194,2025-02-21 00:43:39.763902,4.177321910858154,114.086369401026,0.0,2.99065467769914,25.1444822535337,1,0,1.0,4.193280220031738,0.0
195,2025-02-21 00:44:30.997199,4.161376476287842,114.108594995664,0.0,2.99065130652354,25.1318291679136,1,0,1.0,4.177321910858154,0.0
196,2025-02-21 00:45:21.982954,4.145443916320801,114.130804228143,0.0,2.99064793577103,25.1191845182051,1,0,1.0,4.161376476287842,0.0
197,2025-02-21 00:46:09.830715,4.129524230957031,114.15298988704,0.0,2.99064456605957,25.1065524100079,1,0,1.0,4.145443916320801,0.0
198,2025-02-21 00:46:59.575223,4.113617420196533,114.175156723179,0.0,2.99064120458426,25.0939301493009,1,0,1.0,4.129524230957031,0.0
199,2025-02-21 00:47:49.014755,4.097723484039307,114.197303817915,0.0,2.99063784116286,25.0813182510273,1,0,1.0,4.113617420196533,0.0
200,2025-02-21 00:48:42.891135,4.0947089195251465,113.473677214693,0.0,2.99074741281438,25.4929418165398,1,0,1.0,4.0947089195251465,0.0
201,2025-02-21 00:49:33.101065,4.091695308685303,113.478086424281,0.0,2.99074674702777,25.4904365544791,1,0,1.0,4.091695308685303,0.0
202,2025-02-21 00:50:19.941917,4.088682651519775,113.482480065614,0.0,2.99074608378348,25.4879400863046,1,0,1.0,4.088682651519775,0.0
203,2025-02-21 00:51:08.907703,4.0856709480285645,113.486871866856,0.0,2.99074542204757,25.4854446305241,1,0,1.0,4.088682651519775,0.0
204,2025-02-21 00:51:58.559806,4.08266019821167,113.491261331098,0.0,2.99074475915801,25.482950466685,1,0,1.0,4.0856709480285645,0.0
205,2025-02-21 00:52:48.221238,4.083296298980713,113.108273943454,0.0,2.99080251894254,25.7004404412498,1,0,1.0,4.08266019821167,0.0
206,2025-02-21 00:53:39.725484,4.083930492401123,113.107374021371,0.0,2.99080265415794,25.7009509837113,1,0,1.0,4.083930492401123,0.0
207,2025-02-21 00:54:32.929071,4.04874849319458,117.664371002987,0.0,2.99010463533065,23.096252902219,1,0,1.0,4.083930492401123,0.0
208,2025-02-21 00:55:21.709266,4.0136590003967285,117.695701845629,0.0,2.9900997539135,23.0782180848173,1,0,1.0,4.0136590003967285,0.0
209,2025-02-21 00:56:11.249693,3.9786617755889893,117.727000399059,0.0,2.99009487643018,23.060200141715,1,0,1.0,4.0136590003967285,0.0
210,2025-02-21 00:57:02.652792,3.9437570571899414,117.758266271015,0.0,2.9900900044285,23.0421993054758,1,0,1.0,3.9786617755889893,0.0
211,2025-02-21 00:57:52.425734,3.9188408851623535,116.335299204852,0.0,2.99031063869465,23.8597161899422,1,0,1.0,3.9437570571899414,0.0
212,2025-02-21 00:58:40.328458,3.8940036296844482,116.358184193661,0.0,2.99030710943031,23.8465965333566,1,0,1.0,3.9188408851623535,0.0
213,2025-02-21 00:59:29.678601,3.871706962585449,115.96678823194,0.0,2.99036740717948,24.070851552365,1,0,1.0,3.871706962585449,0.0
214,2025-02-21 01:00:18.587745,3.849515438079834,115.983194185299,0.0,2.99036488056466,24.0614569834837,1,0,1.0,3.871706962585449,0.0
215,2025-02-21 01:01:09.411238,3.8274283409118652,115.999561673449,0.0,2.99036236668783,24.0520839752446,1,0,1.0,3.849515438079834,0.0
216,2025-02-21 01:01:57.667523,3.805445909500122,116.015886551295,0.0,2.99035985151613,24.0427348900544,1,0,1.0,3.8274283409118652,0.0
217,2025-02-21 01:02:46.302790,3.7809345722198486,116.582949191706,0.0,2.99027240730474,23.7176929059735,1,0,1.0,3.7809345722198486,0.0
218,2025-02-21 01:03:36.746730,3.7565295696258545,116.601018871804,0.0,2.99026961320314,23.7073259054877,1,0,1.0,3.7809345722198486,0.0
219,2025-02-21 01:04:27.175296,3.7322309017181396,116.61904604364,0.0,2.99026682485269,23.6969828187159,1,0,1.0,3.7565295696258545,0.0
220,2025-02-21 01:05:16.404258,3.708038330078125,116.637037078094,0.0,2.99026404727627,23.6866599018282,1,0,1.0,3.7322309017181396,0.0
221,2025-02-21 01:06:09.264765,3.6839513778686523,116.65498921344,0.0,2.99026127231698,23.6763587344793,1,0,1.0,3.708038330078125,0.0
222,2025-02-21 01:06:57.613839,3.6599698066711426,116.672901925394,0.0,2.9902585009099,23.6660796221254,1,0,1.0,3.6839513778686523,0.0
223,2025-02-21 01:07:47.157657,3.636093854904175,116.690780825969,0.0,2.99025573682553,23.6558193524924,1,0,1.0,3.6599698066711426,0.0
224,2025-02-21 01:09:25.928709,3.6055386066436768,116.72641229348,0.0,2.99025022538345,23.6353696364249,1,0,1.0,3.6055386066436768,0.0
225,2025-02-21 01:10:13.635411,3.5886781215667725,116.731503105755,0.0,2.99024943793829,23.6324477205737,1,0,1.0,3.6055386066436768,0.0
226,2025-02-21 01:11:01.693831,3.5651166439056396,116.744160920584,0.0,2.99024747806357,23.6251824588361,1,0,1.0,3.5651166439056396,0.0
227,2025-02-21 01:11:51.424550,3.5416595935821533,116.761881294612,0.0,2.99024473650896,23.6150109474265,1,0,1.0,3.5651166439056396,0.0
228,2025-02-21 01:12:42.279542,3.5183067321777344,116.779561400245,0.0,2.990242001718,23.604862001389,1,0,1.0,3.5416595935821533,0.0
229,2025-02-21 01:13:36.604396,3.495943784713745,116.615225178789,0.0,2.99026741721405,23.6991750883175,1,0,1.0,3.5183067321777344,0.0
230,2025-02-21 01:14:26.366627,3.473684072494507,116.632181202833,0.0,2.99026479946075,23.6894461701578,1,0,1.0,3.495943784713745,0.0
231,2025-02-21 01:15:13.557382,3.4515271186828613,116.6490977043,0.0,2.99026218000689,23.6797394179928,1,0,1.0,3.473684072494507,0.0
232,2025-02-21 01:16:02.801132,3.4294729232788086,116.665975418939,0.0,2.99025957130413,23.6700544257503,1,0,1.0,3.4515271186828613,0.0
233,2025-02-21 01:16:53.366641,3.4075214862823486,116.682817366359,0.0,2.99025696833381,23.6603894594881,1,0,1.0,3.4294729232788086,0.0
234,2025-02-21 01:17:41.497200,3.374039649963379,118.307438930625,0.0,2.99000424023801,22.7257436052681,1,0,1.0,3.4075214862823486,0.0
235,2025-02-21 01:18:32.117860,3.3406784534454346,118.332560463886,0.0,2.99000031223626,22.7112549814743,1,0,1.0,3.3406784534454346,0.0
236,2025-02-21 01:19:22.205640,3.3074376583099365,118.357648694539,0.0,2.98999638411906,22.6967844633421,1,0,1.0,3.3406784534454346,0.0
237,2025-02-21 01:20:10.656790,3.2743172645568848,118.38270937389,0.0,2.98999246046176,22.6823287432139,1,0,1.0,3.3074376583099365,0.0
