,J1,J2,J3,J4,J5,J1S,J2S
87,-0.00012084802760857716,-0.00012091495214027525,-0.00012119869529867432,-0.00012526959545041015,-0.00012121416012716546,0,0
88,-0.00012036365965057804,-0.00012043258313878646,-0.00012071111423058722,-0.00012480483219640793,-0.0001207264578248024,0,0
89,-0.0001575063787255787,-0.00013929055408577252,-0.0001245028234793133,-0.00012434049465443798,-0.00012440675000111368,0,0
90,-0.00015752865824001204,-0.00013934506077064812,-0.00012460293295430303,-0.00012443317951465804,-0.00012450744719977314,0,0
91,-0.000157550821847936,-0.00013939959928631172,-0.00012470209992107462,-0.0001245260627047373,-0.00012460715835135527,0,0
92,-0.00015757286794224946,-0.0001394541285498263,-0.00012480035414495162,-0.00012461904649708311,-0.00012470591931005968,0,0
93,-0.00015759479409815368,-0.00013950860638610506,-0.00012489772517622287,-0.00012471204775250653,-0.00012480376459460762,0,0
94,-0.00015761660053068338,-0.0001395630017113225,-0.00012499424159186255,-0.00012480499517004252,-0.0001249007269015845,0,0
95,-0.00015763828565254322,-0.00013961728384908722,-0.00012508993052019025,-0.00012489782723846155,-0.0001249968367998644,0,0
96,-0.00015763549183174186,-0.00013959676579104461,-0.00012516627471576225,-0.0001249904862266171,-0.00012507410424107633,0,0
97,-0.0001576559131072125,-0.0001396483246676694,-0.00012525578726023222,-0.0001250787051112745,-0.0001251639703817453,0,0
98,-0.00015767621828377432,-0.00013969970610109073,-0.00012534458737224917,-0.0001251666636229154,-0.00012525310775864495,0,0
99,-0.00015769640846489464,-0.0001397508964649019,-0.00012543269486895437,-0.00012525432853302654,-0.00012534153796578184,0,0
100,-0.0001577164843664125,-0.00013980188420947837,-0.00012552012796038792,-0.00012534167090247017,-0.0001254292807863444,0,0
101,-0.00015773644645235006,-0.00013985265590647168,-0.00012560690345320591,-0.00012542866556087385,-0.00012551635433983189,0,0
102,-0.00015775629490661857,-0.00013990320187932227,-0.0001256930367393627,-0.00012551529054074972,-0.00012560277522918328,0,0
103,-0.00015777603104206116,-0.0001399535149809572,-0.00012577854205641614,-0.00012560152674928382,-0.00012568855872185924,0,0
104,-0.0001577956548303838,-0.00014000358610635644,-0.00012586343246489217,-0.00012568735756090187,-0.00012577371878379483,0,0
105,-0.00015781516714021338,-0.00014005341131133163,-0.0001259477200180492,-0.0001257727685795995,-0.00012585826828311663,0,0
