iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,ScadaCommand_V13,ScadaCommand_V24,T1,T2,P1,J1,J2,V13F,V24F
101.0,2025-07-10 18:56:44.670331,False,0.0,0,1,,,6.185613632202148,6.208083152770996,1.0,67.16310119628906,61.815860748291016,192.37161254882812,72.81996154785156
102.0,2025-07-10 18:56:57.197456,False,0.0,0,1,,,6.212193012237549,6.233983993530273,1.0,67.16903686523438,61.83097457885742,192.1572265625,72.72156524658203
103.0,2025-07-10 18:57:09.233789,False,0.0,0,1,,,6.238554000854492,6.259768486022949,1.0,67.17494201660156,61.84601974487305,191.9442901611328,72.62346649169922
104.0,2025-07-10 18:57:20.801502,False,0.0,0,1,,,6.264702796936035,6.2854323387146,1.0,67.1808090209961,61.86098861694336,191.7327880859375,72.52571105957031
105.0,2025-07-10 18:57:32.665279,False,0.0,0,1,,,6.290646076202393,6.310970306396484,1.0,67.1866455078125,61.87588882446289,191.52268981933594,72.42830657958984
106.0,2025-07-10 18:57:43.531746,False,0.0,0,1,,,6.316389083862305,6.336379051208496,1.0,67.19244384765625,61.890708923339844,191.31393432617188,72.33128356933594
107.0,2025-07-10 18:57:54.556352,False,0.0,0,1,,,6.34193754196167,6.361655235290527,1.0,67.19821166992188,61.905452728271484,191.10653686523438,72.23465728759766
108.0,2025-07-10 18:58:06.371159,False,0.0,0,1,,,6.367295265197754,6.386795997619629,1.0,67.38053131103516,62.43770217895508,190.89968872070312,76.76863861083984
109.0,2025-07-10 18:58:18.742261,False,0.0,0,1,,,6.426858901977539,6.44048547744751,1.0,67.3931884765625,62.46840286254883,190.43289184570312,76.56804656982422
110.0,2025-07-10 18:58:30.820380,False,0.0,0,1,,,6.485853672027588,6.494028091430664,1.0,67.40579223632812,62.4990119934082,189.96922302246094,76.36746978759766
111.0,2025-07-10 18:58:42.747047,False,0.0,0,1,,,6.544294357299805,6.5474138259887695,1.0,67.4183349609375,62.52952194213867,189.5086212158203,76.16697692871094
112.0,2025-07-10 18:58:54.439132,False,0.0,0,1,,,6.602194786071777,6.6006317138671875,1.0,67.43082427978516,62.55992889404297,189.05104064941406,75.96661376953125
113.0,2025-07-10 18:59:05.973286,False,0.0,0,1,,,6.659567356109619,6.65367317199707,1.0,67.44324493408203,62.590232849121094,188.59645080566406,75.76642608642578
114.0,2025-07-10 18:59:18.061987,False,0.0,0,1,,,6.716424465179443,6.706528186798096,1.0,67.45560455322266,62.620426177978516,188.14476013183594,75.56645965576172
115.0,2025-07-10 18:59:29.949745,False,0.0,0,1,,,6.772778034210205,6.759189605712891,1.0,67.46791076660156,62.65050506591797,187.6959686279297,75.36675262451172
116.0,2025-07-10 18:59:41.598252,False,0.0,0,1,,,6.828638076782227,6.811649322509766,1.0,67.48015594482422,62.68046951293945,187.24998474121094,75.16735076904297
117.0,2025-07-10 18:59:54.316946,False,0.0,0,1,,,6.8840155601501465,6.863900184631348,1.0,67.49234008789062,62.71031188964844,186.80682373046875,74.96829223632812
118.0,2025-07-10 19:00:07.317487,False,0.0,0,1,,,6.938920497894287,6.915936470031738,1.0,67.50446319580078,62.74003219604492,186.3664093017578,74.76959991455078
119.0,2025-07-10 19:00:19.548757,False,0.0,0,1,,,6.993361949920654,6.9677510261535645,1.0,67.51653289794922,62.769630432128906,185.92869567871094,74.57131958007812
120.0,2025-07-10 19:00:32.287059,False,0.0,0,0,,,7.047348976135254,7.019339561462402,1.0,67.64219665527344,63.110191345214844,185.10049438476562,77.11585235595703
121.0,2025-07-10 19:00:43.901284,False,0.0,0,0,,,7.121405124664307,7.087474822998047,0.0,57.88682556152344,57.89221954345703,-10.74278736114502,-22.505699157714844
122.0,2025-07-10 19:00:55.201306,False,0.0,0,0,,,7.029801845550537,7.004814147949219,0.0,57.799007415771484,57.804866790771484,-10.626654624938965,-22.621835708618164
123.0,2025-07-10 19:01:07.417424,False,0.0,0,0,,,6.938490390777588,6.921862602233887,0.0,57.711212158203125,57.71751403808594,-10.518315315246582,-22.73016357421875
124.0,2025-07-10 19:01:18.984245,False,0.0,0,0,,,6.847450256347656,6.838638782501221,0.0,57.623435974121094,57.63016891479492,-10.417228698730469,-22.83125877380371
125.0,2025-07-10 19:01:29.938213,False,0.0,0,0,,,6.756664276123047,6.755161285400391,0.0,57.53568649291992,57.54283142089844,-10.322856903076172,-22.92562484741211
126.0,2025-07-10 19:01:41.913365,False,0.0,0,0,,,6.666114330291748,6.67144775390625,0.0,57.447959899902344,57.455501556396484,-10.234749794006348,-23.013731002807617
127.0,2025-07-10 19:01:53.439290,False,0.0,0,0,,,6.575785160064697,6.587512969970703,0.0,57.36025619506836,57.36817932128906,-10.152451515197754,-23.096027374267578
128.0,2025-07-10 19:02:04.679519,False,0.0,0,0,,,6.485662460327148,6.503372669219971,0.0,57.272579193115234,57.28086471557617,-10.075577735900879,-23.172903060913086
129.0,2025-07-10 19:02:15.979874,False,0.0,0,0,,,6.395731449127197,6.419039726257324,0.0,57.1849250793457,57.19355773925781,-10.003729820251465,-23.244749069213867
130.0,2025-07-10 19:02:27.411362,False,0.0,0,0,,,6.305980682373047,6.334527492523193,0.0,57.09729766845703,57.10625457763672,-9.936591148376465,-23.311887741088867
131.0,2025-07-10 19:02:39.206751,False,0.0,0,0,,,6.216397285461426,6.249846935272217,0.0,57.00969314575195,57.01896286010742,-9.873814582824707,-23.37466049194336
132.0,2025-07-10 19:02:50.025332,False,0.0,0,0,,,6.126971244812012,6.16500997543335,0.0,56.80037307739258,56.811622619628906,-11.110543251037598,-26.172910690307617
133.0,2025-07-10 19:03:01.909665,False,0.0,0,0,,,6.026595592498779,6.069972991943359,0.0,56.7021484375,56.71373748779297,-11.04858684539795,-26.234872817993164
134.0,2025-07-10 19:03:13.357627,False,0.0,0,1,,,5.926375389099121,5.974781513214111,0.0,56.603946685791016,56.61586380004883,-10.990263938903809,-26.293190002441406
135.0,2025-07-10 19:03:24.535309,False,0.0,0,1,,,5.826300621032715,5.879444122314453,1.0,67.3237075805664,62.31602096557617,194.8983612060547,80.06959533691406
136.0,2025-07-10 19:03:36.015639,False,0.0,0,1,,,5.900688171386719,5.94407844543457,1.0,67.33894348144531,62.35261154174805,194.33139038085938,79.83348846435547
137.0,2025-07-10 19:03:47.840533,False,0.0,0,1,,,5.974351406097412,6.0085768699646,1.0,67.35411071777344,62.38911437988281,193.76797485351562,79.59719848632812
138.0,2025-07-10 19:03:59.381946,False,0.0,0,1,,,6.047308444976807,6.072925090789795,1.0,67.36922454833984,62.4255256652832,193.20811462402344,79.36076354980469
139.0,2025-07-10 19:04:10.458300,False,0.0,0,1,,,6.119574546813965,6.137111663818359,1.0,67.38426208496094,62.46183395385742,192.65171813964844,79.124267578125
140.0,2025-07-10 19:04:22.954350,False,0.0,0,1,,,6.191165447235107,6.2011237144470215,1.0,67.39924621582031,62.4980354309082,192.0987548828125,78.88774108886719
141.0,2025-07-10 19:04:34.756192,False,0.0,0,1,,,6.262095928192139,6.264950752258301,1.0,67.41415405273438,62.53412628173828,191.54920959472656,78.65125274658203
142.0,2025-07-10 19:04:46.104081,False,0.0,0,1,,,6.332380294799805,6.328582286834717,1.0,67.42900848388672,62.570106506347656,191.00299072265625,78.41484832763672
143.0,2025-07-10 19:04:57.442312,False,0.0,0,1,,,6.402032375335693,6.392008304595947,1.0,67.44378662109375,62.60596466064453,190.46009826660156,78.17857360839844
144.0,2025-07-10 19:05:10.127309,False,0.0,0,1,,,6.471063613891602,6.455219745635986,1.0,67.51959228515625,62.80836868286133,189.63865661621094,79.36528015136719
145.0,2025-07-10 19:05:21.917766,False,0.0,0,1,,,6.550081253051758,6.527021408081055,1.0,67.53633117675781,62.848636627197266,189.0238037109375,79.09772491455078
146.0,2025-07-10 19:05:34.353808,False,0.0,0,1,,,6.628410816192627,6.598566055297852,1.0,67.55300903320312,62.88875961303711,188.41241455078125,78.83037567138672
147.0,2025-07-10 19:05:46.444438,False,0.0,0,1,,,6.706063270568848,6.669846057891846,1.0,67.56961059570312,62.928741455078125,187.804443359375,78.56327819824219
148.0,2025-07-10 19:05:58.916526,False,0.0,0,1,,,6.783051013946533,6.740854263305664,1.0,67.58614349365234,62.96857452392578,187.19984436035156,78.29647064208984
149.0,2025-07-10 19:06:10.015632,False,0.0,0,1,,,6.859384536743164,6.811583518981934,1.0,67.60260772705078,63.00825119018555,186.59860229492188,78.02996826171875
150.0,2025-07-10 19:06:19.711453,False,0.0,0,1,,,6.935074329376221,6.882026672363281,1.0,67.6189956665039,63.04777908325195,186.0006866455078,77.76383209228516
151.0,2025-07-10 19:06:29.546327,False,0.0,0,0,,,7.010130405426025,6.952178001403809,1.0,67.63532257080078,63.0871467590332,185.4060516357422,77.49807739257812
152.0,2025-07-10 19:06:39.520364,False,0.0,0,0,,,7.0845627784729,7.022031784057617,0.0,57.84699249267578,57.85089874267578,-11.021968841552734,-21.90087127685547
153.0,2025-07-10 19:06:50.147471,False,0.0,0,0,,,6.992890357971191,6.941147804260254,0.0,57.75999069213867,57.76438903808594,-10.879673957824707,-22.043167114257812
154.0,2025-07-10 19:07:02.244504,False,0.0,0,0,,,6.901575565338135,6.859906196594238,0.0,57.673004150390625,57.67788314819336,-10.747188568115234,-22.1756591796875
155.0,2025-07-10 19:07:14.780136,False,0.0,0,0,,,6.810594081878662,6.7783308029174805,0.0,57.586029052734375,57.59138107299805,-10.623757362365723,-22.299089431762695
156.0,2025-07-10 19:07:27.317465,False,0.0,0,0,,,6.7199225425720215,6.696445465087891,0.0,57.580650329589844,57.585323333740234,-9.610654830932617,-20.330284118652344
157.0,2025-07-10 19:07:40.120226,False,0.0,0,0,,,6.63759183883667,6.6218485832214355,0.0,57.50157928466797,57.50666046142578,-9.500983238220215,-20.439956665039062
158.0,2025-07-10 19:07:52.582669,False,0.0,0,0,,,6.555535793304443,6.5469770431518555,0.0,57.42253112792969,57.428001403808594,-9.39933967590332,-20.541603088378906
159.0,2025-07-10 19:08:04.371391,False,0.0,0,0,,,6.4737348556518555,6.4718499183654785,0.0,57.343502044677734,57.3493537902832,-9.305102348327637,-20.635839462280273
