iteration,timestamp,P79,T41,V1F,J21,V1,T42,J2,P1F,P1
106.0,2025-01-14 15:51:15.234246,0.0,6.532901287078857,-80.65380096435547,57.824607849121094,1.0,6.4031596183776855,62.88083267211914,233.5335235595703,1.0
107.0,2025-01-14 15:51:19.524934,0.0,6.536159038543701,-80.62163543701172,57.82789993286133,1.0,6.406435966491699,62.88190841674805,233.4866180419922,1.0
108.0,2025-01-14 15:51:24.050866,0.0,6.539383411407471,-80.5906753540039,57.83115768432617,1.0,6.409695625305176,62.88297653198242,233.44012451171875,1.0
109.0,2025-01-14 15:51:28.271403,0.0,6.577417850494385,-93.61835479736328,57.83441162109375,1.0,6.433048248291016,63.01660919189453,227.62559509277344,1.0
110.0,2025-01-14 15:51:32.745099,0.0,6.614332675933838,-92.57313537597656,57.87244415283203,1.0,6.457014560699463,63.027462005615234,227.15341186523438,1.0
111.0,2025-01-14 15:51:37.098076,0.0,6.650251388549805,-91.64286804199219,57.909358978271484,1.0,6.481479644775391,63.03813934326172,226.6887969970703,1.0
112.0,2025-01-14 15:51:41.665276,0.0,6.685272216796875,-90.8047866821289,57.945274353027344,1.0,6.506351947784424,63.04866027832031,226.2310333251953,1.0
113.0,2025-01-14 15:51:46.066043,0.0,6.719476699829102,-90.04258728027344,57.98029708862305,1.0,6.531557083129883,63.05903625488281,225.7796173095703,1.0
114.0,2025-01-14 15:51:50.667033,0.0,6.752933025360107,-89.3441390991211,58.01449966430664,1.0,6.557033538818359,63.06927490234375,225.3341064453125,1.0
115.0,2025-01-14 15:51:55.125077,0.0,6.785699844360352,-88.70008850097656,58.04795455932617,1.0,6.582728385925293,63.07938766479492,224.8941192626953,1.0
116.0,2025-01-14 15:51:59.409636,0.0,6.817826747894287,-88.10301971435547,58.080718994140625,1.0,6.6085968017578125,63.089378356933594,224.45938110351562,1.0
117.0,2025-01-14 15:52:03.721754,0.0,6.849358558654785,-87.54695892333984,58.11284637451172,1.0,6.634600639343262,63.0992546081543,224.02957153320312,1.0
118.0,2025-01-14 15:52:08.235989,0.0,6.880333423614502,-87.02699279785156,58.144378662109375,1.0,6.660706043243408,63.10902404785156,223.6044921875,1.0
119.0,2025-01-14 15:52:12.764235,0.0,6.91078519821167,-86.53900146484375,58.17535400390625,1.0,6.686883926391602,63.118690490722656,223.1839141845703,1.0
120.0,2025-01-14 15:52:17.165183,0.0,6.9407453536987305,-86.07953643798828,58.20580291748047,1.0,6.713107585906982,63.128257751464844,222.76763916015625,1.0
121.0,2025-01-14 15:52:21.393848,0.0,6.991130352020264,-93.49791717529297,58.23579406738281,1.0,6.751278400421143,63.218502044677734,218.84100341796875,1.0
122.0,2025-01-14 15:52:25.827088,0.0,7.040508270263672,-92.55772399902344,58.28617858886719,1.0,6.789744853973389,63.233760833740234,218.17706298828125,1.0
123.0,2025-01-14 15:52:30.034829,0.0,6.920679092407227,65.42573547363281,58.33526611328125,1.0,6.763741493225098,58.1445198059082,0.0,0.0
124.0,2025-01-14 15:52:34.395023,0.0,6.806801795959473,59.86912536621094,58.215457916259766,1.0,6.731786727905273,58.054805755615234,0.0,0.0
125.0,2025-01-14 15:52:38.795135,0.0,6.699117183685303,54.08677291870117,58.10160446166992,1.0,6.693638801574707,57.96512222290039,0.0,0.0
126.0,2025-01-14 15:52:43.160110,0.0,6.5996832847595215,46.38374328613281,57.99394607543945,1.0,6.64724063873291,57.87650680541992,0.0,0.0
127.0,2025-01-14 15:52:47.596201,0.0,6.510429859161377,36.878570556640625,57.8945426940918,1.0,6.590662002563477,57.79073715209961,0.0,0.0
128.0,2025-01-14 15:52:52.038362,0.0,6.424165725708008,34.08724594116211,57.8052978515625,1.0,6.531093597412109,57.70951843261719,0.0,0.0
129.0,2025-01-14 15:52:56.885504,0.0,6.340044021606445,32.08671188354492,57.71903991699219,1.0,6.4693827629089355,57.62960433959961,0.0,0.0
130.0,2025-01-14 15:53:01.418098,0.0,6.257591247558594,30.52889060974121,57.63492202758789,1.0,6.406003475189209,57.55066680908203,0.0,0.0
131.0,2025-01-14 15:53:05.891819,0.0,6.176488876342773,29.268163681030273,57.55247497558594,1.0,6.341273784637451,57.47251892089844,0.0,0.0
132.0,2025-01-14 15:53:10.291941,0.0,6.096503734588623,28.224454879760742,57.47137451171875,1.0,6.275426387786865,57.39503479003906,0.0,0.0
133.0,2025-01-14 15:53:14.915075,0.0,6.005270481109619,33.089073181152344,57.391357421875,1.0,6.203129291534424,57.29148864746094,0.0,0.0
134.0,2025-01-14 15:53:19.275208,0.0,5.915219783782959,31.98526382446289,57.30012893676758,1.0,6.129649639129639,57.204463958740234,0.0,0.0
135.0,2025-01-14 15:53:23.717120,0.0,5.998102188110352,-129.47805786132812,57.21034240722656,1.0,6.132772445678711,62.893455505371094,232.98422241210938,1.0
136.0,2025-01-14 15:53:27.906175,0.0,6.076603889465332,-125.38709259033203,57.293212890625,1.0,6.139425277709961,62.91172790527344,232.18923950195312,1.0
137.0,2025-01-14 15:53:32.452080,0.0,6.150151252746582,-120.76204681396484,57.371700286865234,1.0,6.150204658508301,62.92947006225586,231.41717529296875,1.0
138.0,2025-01-14 15:53:37.062032,0.0,6.215055465698242,-112.69192504882812,57.445228576660156,1.0,6.168828964233398,62.94660568237305,230.6715087890625,1.0
139.0,2025-01-14 15:53:41.557450,0.0,6.272346019744873,-105.58325958251953,57.51011657714844,1.0,6.194317817687988,62.96268844604492,229.9718475341797,1.0
140.0,2025-01-14 15:53:46.162943,0.0,6.326802730560303,-102.93743896484375,57.56740188598633,1.0,6.221934795379639,62.977821350097656,229.31338500976562,1.0
141.0,2025-01-14 15:53:50.787042,0.0,6.37911319732666,-100.9334716796875,57.62185287475586,1.0,6.251010417938232,62.99257278442383,228.67141723632812,1.0
142.0,2025-01-14 15:53:55.252916,0.0,6.429654121398926,-99.28156280517578,57.674163818359375,1.0,6.281182289123535,63.00703048706055,228.0424041748047,1.0
143.0,2025-01-14 15:53:59.490251,0.0,6.478674411773682,-97.8615493774414,57.724700927734375,1.0,6.3122124671936035,63.02123260498047,227.42445373535156,1.0
144.0,2025-01-14 15:54:03.901013,0.0,6.526354789733887,-96.61045837402344,57.773719787597656,1.0,6.343931674957275,63.03520965576172,226.81625366210938,1.0
145.0,2025-01-14 15:54:08.490040,0.0,6.583748817443848,-99.58741760253906,57.821414947509766,1.0,6.38242244720459,63.09185791015625,224.3514862060547,1.0
146.0,2025-01-14 15:54:12.868710,0.0,6.639746189117432,-98.28346252441406,57.878807067871094,1.0,6.421536922454834,63.10845184326172,223.6293487548828,1.0
147.0,2025-01-14 15:54:17.274436,0.0,6.6944732666015625,-97.09744262695312,57.9348030090332,1.0,6.46115779876709,63.12483596801758,222.9164581298828,1.0
148.0,2025-01-14 15:54:21.736247,0.0,6.7480340003967285,-96.00836944580078,57.98952865600586,1.0,6.501190662384033,63.141021728515625,222.21221923828125,1.0
149.0,2025-01-14 15:54:25.986592,0.0,6.800515651702881,-95.0008316040039,58.043087005615234,1.0,6.541557312011719,63.157020568847656,221.5160675048828,1.0
150.0,2025-01-14 15:54:30.344425,0.0,6.851993083953857,-94.06304168701172,58.09556579589844,1.0,6.582190990447998,63.17284393310547,220.82757568359375,1.0
151.0,2025-01-14 15:54:34.896046,0.0,6.902530670166016,-93.18578338623047,58.14704132080078,1.0,6.623034477233887,63.188499450683594,220.14634704589844,1.0
152.0,2025-01-14 15:54:39.421706,0.0,6.95218563079834,-92.36160278320312,58.19757843017578,1.0,6.66403865814209,63.20399856567383,219.47206115722656,1.0
153.0,2025-01-14 15:54:44.036018,0.0,7.001008033752441,-91.58442687988281,58.247230529785156,1.0,6.705160140991211,63.21934127807617,218.80441284179688,1.0
154.0,2025-01-14 15:54:48.371477,0.0,6.879438877105713,67.50532531738281,58.29576110839844,1.0,6.682324409484863,58.09144973754883,0.0,0.0
155.0,2025-01-14 15:54:52.603229,0.0,6.763827800750732,61.942665100097656,58.17421340942383,1.0,6.653531074523926,58.002986907958984,0.0,0.0
156.0,2025-01-14 15:54:56.841668,0.0,6.654227256774902,56.330535888671875,58.058624267578125,1.0,6.61872673034668,57.91402816772461,0.0,0.0
157.0,2025-01-14 15:55:01.346218,0.0,6.559962272644043,46.17924880981445,57.949073791503906,1.0,6.581667900085449,57.84400177001953,0.0,0.0
158.0,2025-01-14 15:55:05.923215,0.0,6.477466106414795,35.190887451171875,57.85483932495117,1.0,6.532839775085449,57.764930725097656,0.0,0.0
159.0,2025-01-14 15:55:10.391936,0.0,6.398768901824951,31.64395523071289,57.77235412597656,1.0,6.480213165283203,57.69086837768555,0.0,0.0
160.0,2025-01-14 15:55:14.753049,0.0,6.322453498840332,29.41994857788086,57.69366455078125,1.0,6.425204277038574,57.618446350097656,0.0,0.0
161.0,2025-01-14 15:55:19.141979,0.0,6.247903823852539,27.771709442138672,57.61735153198242,1.0,6.368430137634277,57.547096252441406,0.0,0.0
162.0,2025-01-14 15:55:23.321860,0.0,6.174740314483643,26.477420806884766,57.542808532714844,1.0,6.310269832611084,57.4765739440918,0.0,0.0
163.0,2025-01-14 15:55:27.833062,0.0,6.102698802947998,25.429370880126953,57.46964645385742,1.0,6.2509870529174805,57.40673065185547,0.0,0.0
164.0,2025-01-14 15:55:32.257180,0.0,6.031583786010742,24.564828872680664,57.397605895996094,1.0,6.1907782554626465,57.33745574951172,0.0,0.0
165.0,2025-01-14 15:55:36.713827,0.0,5.961242198944092,23.84269142150879,57.32649230957031,1.0,6.129796028137207,57.2686653137207,0.0,0.0
166.0,2025-01-14 15:55:41.279817,0.0,6.060062885284424,-134.09951782226562,57.256412506103516,1.0,6.1453166007995605,62.97650909423828,229.37049865722656,1.0
167.0,2025-01-14 15:55:45.549429,0.0,6.153593063354492,-129.15945434570312,57.35521697998047,1.0,6.165059566497803,62.99943923950195,228.37269592285156,1.0
168.0,2025-01-14 15:55:49.759971,0.0,6.239856243133545,-122.37480163574219,57.44872283935547,1.0,6.191030025482178,63.02173614501953,227.40249633789062,1.0
169.0,2025-01-14 15:55:54.186733,0.0,6.298931121826172,-105.99541473388672,57.53491973876953,1.0,6.217902183532715,62.979183197021484,229.2540740966797,1.0
170.0,2025-01-14 15:55:58.543930,0.0,6.3551716804504395,-103.34871673583984,57.593990325927734,1.0,6.2468791007995605,62.99485397338867,228.57223510742188,1.0
171.0,2025-01-14 15:56:02.910899,0.0,6.409247398376465,-101.32711791992188,57.65022659301758,1.0,6.277308464050293,63.0101432800293,227.90692138671875,1.0
172.0,2025-01-14 15:56:07.468170,0.0,6.461529731750488,-99.65341186523438,57.70429992675781,1.0,6.308831691741943,63.0251350402832,227.25469970703125,1.0
173.0,2025-01-14 15:56:11.699206,0.0,6.512267112731934,-98.2104263305664,57.7565803527832,1.0,6.341214179992676,63.03986740112305,226.61367797851562,1.0
174.0,2025-01-14 15:56:16.021755,0.0,6.561639785766602,-96.93618774414062,57.80731201171875,1.0,6.3742852210998535,63.05437088012695,225.9825897216797,1.0
175.0,2025-01-14 15:56:20.671122,0.0,6.6097869873046875,-95.79247283935547,57.856685638427734,1.0,6.407915115356445,63.068668365478516,225.3605194091797,1.0
176.0,2025-01-14 15:56:25.088306,0.0,6.6568217277526855,-94.75363159179688,57.90483093261719,1.0,6.442000389099121,63.08277130126953,224.74673461914062,1.0
177.0,2025-01-14 15:56:29.354129,0.0,6.702836990356445,-93.80142974853516,57.95186233520508,1.0,6.476456165313721,63.096702575683594,224.1406707763672,1.0
178.0,2025-01-14 15:56:33.646218,0.0,6.747910022735596,-92.92227935791016,57.99787521362305,1.0,6.511212348937988,63.11046600341797,223.5418243408203,1.0
179.0,2025-01-14 15:56:38.086749,0.0,6.79210901260376,-92.10572814941406,58.04294967651367,1.0,6.54620885848999,63.12407302856445,222.94979858398438,1.0
180.0,2025-01-14 15:56:42.404173,0.0,6.83549165725708,-91.34352111816406,58.0871467590332,1.0,6.581394672393799,63.13752746582031,222.36424255371094,1.0
181.0,2025-01-14 15:56:46.744923,0.0,6.890328884124756,-95.22305297851562,58.13054656982422,1.0,6.623673915863037,63.19861602783203,219.70623779296875,1.0
182.0,2025-01-14 15:56:51.153374,0.0,6.944124221801758,-94.2506103515625,58.18538284301758,1.0,6.666221618652344,63.21520233154297,218.98452758789062,1.0
