iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J1S_LEVEL,J2S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V13_FLOW,V13_STATUS,V24_FLOW,V24_STATUS,plc3AttackerUnit,plc2AttackerUnit
354,2025-07-28 23:58:24.959045,10.668000000000001,10.668000000000001,70.78000706839093,69.7618344411766,69.05530531438542,69.05646267001227,69.05081772300859,70.78000684084002,69.76183435926745,0.0,0.0,130.080248136705,1.0,76.10413857719323,1.0,27.394416422339418,1.0,1,1
355,2025-07-28 23:58:47.568216,10.668000000000001,10.668000000000001,70.78000694153387,69.76183428440265,69.05530517390417,69.05646252872071,69.05081758252736,70.7800067139829,69.7618342024935,0.0,0.0,130.08025482294752,1.0,76.10415016642946,1.0,27.394416422339418,1.0,1,1
356,2025-07-28 23:59:09.530262,10.668000000000001,10.668000000000001,70.78000700549397,69.76183429419929,69.05530521319187,69.05646256654173,69.05081762181504,70.78000677794303,69.76183421229013,0.0,0.0,130.0802514518082,1.0,76.10414437181134,1.0,27.394422216957537,1.0,1,1
357,2025-07-28 23:59:31.236572,10.668000000000001,10.668000000000001,70.78000700492692,69.76183436736585,69.05530524620923,69.05646260155585,69.0508176548324,70.78000677737599,69.7618342854567,0.0,0.0,130.0802514816961,1.0,76.10413857719323,1.0,27.394416422339418,1.0,1,1
358,2025-07-28 23:59:52.436311,10.668000000000001,10.668000000000001,70.78000700550989,69.76183429213958,69.05530521226537,69.05646256555886,69.05081762088854,70.78000677795893,69.76183421023042,0.0,0.0,130.08025145097014,1.0,76.10414437181134,1.0,27.394422216957537,1.0,1,1
359,2025-07-29 00:00:14.923912,10.668000000000001,10.668000000000001,70.78000700516397,69.76183433677778,69.05530523240827,69.05646258692002,69.05081764103146,70.78000677761302,69.76183425486863,0.0,0.0,130.08025146920147,1.0,76.10414437181134,1.0,27.394416422339418,1.0,1,1
360,2025-07-29 00:00:38.587592,10.668000000000001,10.668000000000001,69.25137090098072,66.76516659609695,65.03992999365751,65.04275649405072,65.02897200489241,69.25137053248798,66.76516646345416,0.0,0.0,210.64991647761886,1.0,123.24196046961333,1.0,44.36222299204928,1.0,1,1
361,2025-07-29 00:01:01.680609,10.668000000000001,10.668000000000001,69.25137077917277,66.76516624026007,65.03992976526034,65.04275625931517,65.02897177649521,69.25137041068001,66.76516610761725,0.0,0.0,210.6499228977385,1.0,123.24197205884957,1.0,44.36223458128552,1.0,1,1
362,2025-07-29 00:01:23.748027,10.668000000000001,10.668000000000001,69.2513710245619,66.76516681633258,65.03993016125924,65.04275666427027,65.02897217249415,69.25137065606918,66.7651666836898,0.0,0.0,210.64990996403859,1.0,123.24195467499521,1.0,44.36222299204928,1.0,1,1
363,2025-07-29 00:01:46.553384,10.668000000000001,10.668000000000001,69.25137090217214,66.76516650498834,65.03992995280842,65.0427564507019,65.02897196404331,69.2513705336794,66.76516637234553,0.0,0.0,210.6499164148233,1.0,123.24196046961333,1.0,44.3622287866674,1.0,1,1
