iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2AttackerUnit
88,2025-01-14 16:29:40.257325,6.775638169619018,5.3821370858364475,58.24962374578266,56.71314986465116,58.249623956923045,56.71314980134583,58.274835229698745,0.0,0.0,0.0,0.0,-70.61565303104089,1.0,-21.172393065853612,1.0,0
89,2025-01-14 16:29:51.175121,6.574291465377544,5.342596179955445,58.0461122724523,56.67710616302114,58.04611247381599,56.677106109491405,58.07000691174438,0.0,0.0,0.0,0.0,-67.345848535183,1.0,-17.90295652824625,1.0,0
90,2025-01-14 16:30:03.271296,6.376491036274527,5.29950900052301,57.8460862743326,56.637559906378264,57.84608646579625,56.637559862747345,57.86868064381314,0.0,0.0,0.0,0.0,-64.03479215293828,1.0,-14.592308666578901,1.0,0
91,2025-01-14 16:30:13.072795,6.18228943521807,5.252822997132401,57.6495915136141,56.59446690002608,57.64959169503102,56.5944668664405,57.670900637146985,0.0,0.0,0.0,0.0,-60.67467563639184,1.0,-11.232655719481954,1.0,0
92,2025-01-14 16:30:22.794989,5.991750142674088,5.202474691306844,57.456682633006196,56.54777456114615,57.456682804199154,56.54777453778291,57.47671949014978,0.0,0.0,0.0,0.0,-57.255283073800456,1.0,-7.813810748302785,1.0,0
93,2025-01-14 16:30:33.405500,5.804950710935079,5.148386527433468,57.26742583228278,56.49741936833364,57.26742599303529,56.49741935540879,57.286200742065176,0.0,0.0,0.0,0.0,-53.76348675781628,1.0,-4.322701094565673,1.0,0
94,2025-01-14 16:30:45.108781,6.125533742337033,5.097442474097506,57.32940984514903,56.44333702252969,57.32940858945686,56.44333700082927,57.10144454884134,0.0,0.0,476.66358241370557,1.0,419.9647627228842,1.0,-7.257680966290536,1.0,0
95,2025-01-14 16:30:56.981583,6.422823283354959,5.054922475720826,57.625984727716535,56.39240708236508,57.625983537052115,56.392407037150974,57.421832805572656,0.0,0.0,462.780430501596,1.0,398.21630928599916,1.0,-15.12180348640868,1.0,0
96,2025-01-14 16:31:08.688879,6.699723040199412,5.019226925902775,57.90326514033678,56.34989691032196,57.90326400659391,56.349896846058485,57.718962176618675,0.0,0.0,450.1148713937369,1.0,379.1789635471332,1.0,-21.492844139743283,1.0,0
97,2025-01-14 16:31:19.663775,6.95716741938797,4.988240522806014,58.162777098637505,56.31420728397181,58.1627760152358,56.314207204758574,57.99571818686491,0.0,0.0,438.8231183115831,1.0,362.34241956435653,1.0,-26.492773843074247,1.0,0
98,2025-01-14 16:31:29.815362,7.198334352945751,4.962214399336889,58.405621185681454,56.283226339164834,58.405620147721024,56.28322624610544,58.25304918671681,0.0,0.0,428.2566092138255,1.0,347.1446399424849,1.0,-31.123603756100238,1.0,0
99,2025-01-14 16:31:41.884720,7.424514892321241,4.940536854578144,58.63388774629648,56.257204328386436,58.633886750173104,56.25720422318833,58.49411733652283,0.0,0.0,418.32439007350155,1.0,333.15228575474976,1.0,-35.18337984814934,1.0,0
100,2025-01-14 16:31:54.359974,7.201422345242671,4.920089490656217,58.68654528611489,56.23552783053059,58.686545544213956,56.23552772189853,58.71875159116567,0.0,0.0,0.0,0.0,-86.32092820505477,1.0,-36.33186446734271,1.0,0
101,2025-01-14 16:32:05.056303,6.981701304568622,4.896270628732514,58.46489560507371,56.21507747394621,58.46489585376065,56.21507737472544,58.49568027011156,0.0,0.0,0.0,0.0,-83.17305406364994,1.0,-33.18427136491664,1.0,0
102,2025-01-14 16:32:16.382253,6.765373714386923,4.8690583205314315,58.2465966764295,56.19125521301154,58.24659691564305,56.191255123263275,58.27598031522862,0.0,0.0,0.0,0.0,-80.0046901525775,1.0,-30.016200082059186,1.0,0
103,2025-01-14 16:32:26.751390,6.5524646973204375,4.838427434141608,58.03167103220928,56.16403909585428,58.0316712618793,56.164039015648655,58.059673683881726,0.0,0.0,0.0,0.0,-76.81286673005161,1.0,-26.82467508236641,1.0,0
104,2025-01-14 16:32:36.784574,6.343003186570129,4.804349034684936,57.820144506904946,56.133403983968904,57.82014472695066,56.13340391338664,57.84678551463584,0.0,0.0,0.0,0.0,-73.59402879785648,1.0,-23.60615585416781,1.0,0
105,2025-01-14 16:32:48.085689,6.1370227149088015,4.766789606970744,57.61204689606801,56.09932093251851,57.61204710639583,56.09932087165307,57.637344759920985,0.0,0.0,0.0,0.0,-70.34388833858429,1.0,-20.35637466121898,1.0,0
