iteration,timestamp,J1,P1F,T1,V1F,P1
74,2026-01-02 13:57:30.955960,67.54145310538031,300.7743768422825,6.897684574127197,186.58324403418192,1
75,2026-01-02 13:57:33.745353,67.55534214083016,300.042328887623,6.960794448852539,186.07935563181854,1
76,2026-01-02 13:57:36.783673,67.56916700862801,299.3136630107612,7.0233869552612305,185.5783645385145,1
77,2026-01-02 13:57:39.819908,57.69920503980293,0.0,7.085469722747803,-12.366384343636128,0
78,2026-01-02 13:57:42.315995,57.59884796732136,0.0,6.9805707931518555,-12.24243746207776,0
79,2026-01-02 13:57:44.970722,57.49851119764716,0.0,6.875983715057373,-12.125927972874706,0
80,2026-01-02 13:57:47.251099,57.39819563360019,0.0,6.771688938140869,-12.016409690431828,0
81,2026-01-02 13:57:49.817438,57.29790274628504,0.0,6.66766881942749,-11.913419045299634,0
82,2026-01-02 13:57:52.006826,57.197633573239,0.0,6.563907146453857,-11.816547516900755,0
83,2026-01-02 13:57:54.650136,57.09738877347913,0.0,6.46038818359375,-11.72541266043936,0
84,2026-01-02 13:57:57.358207,56.351412943478884,0.0,6.357097625732422,-16.921597387522525,0
85,2026-01-02 13:57:59.853806,56.20654442092843,0.0,6.207850933074951,-16.83224727344168,0
86,2026-01-02 13:58:02.488668,56.061702286417834,0.0,6.058828353881836,-16.746736093864456,0
87,2026-01-02 13:58:05.622066,55.916886531637736,0.0,5.910019397735596,-16.664884215629172,0
88,2026-01-02 13:58:08.148881,67.07836681176302,325.1822182144897,5.761415481567383,195.75906818204203,1
89,2026-01-02 13:58:11.308616,67.08511287383574,324.8266542186928,5.793896675109863,195.5064286266861,1
90,2026-01-02 13:58:13.876886,67.0918249761708,324.4728801352731,5.825916767120361,195.25624019479437,1
91,2026-01-02 13:58:16.587552,67.09850206072761,324.1209517302708,5.857509613037109,195.00840437785882,1
92,2026-01-02 13:58:19.425897,67.10514343547246,323.77090547863247,5.888704776763916,194.7628458458439,1
93,2026-01-02 13:58:22.358088,67.11174883463808,323.4227553881275,5.919528007507324,194.51944291176915,1
94,2026-01-02 13:58:25.271770,67.11831776654527,323.0765273736403,5.9500017166137695,194.27813183483522,1
95,2026-01-02 13:58:28.196166,67.1248504290695,322.7322110057682,5.980144500732422,194.03881990115224,1
96,2026-01-02 13:58:30.955411,67.1240551257753,322.77412897422187,6.009974479675293,193.78312658204777,1
97,2026-01-02 13:58:33.506973,67.1302096376321,322.44974375445895,6.03801155090332,193.5590892617256,1
98,2026-01-02 13:58:36.457839,67.1363294341125,322.1271882744499,6.0657830238342285,193.33676135374844,1
99,2026-01-02 13:58:39.145495,67.14241475131668,321.80645009008344,6.093301296234131,193.11607332269887,1
100,2026-01-02 13:58:41.998627,67.14846560919511,321.4875281498364,6.120575428009033,192.8969672223957,1
101,2026-01-02 13:58:44.646086,67.1544822608156,321.17040911528727,6.147615432739258,192.6794140797483,1
102,2026-01-02 13:58:46.853329,67.16046472082954,320.8550922142076,6.174428939819336,192.46336174319367,1
103,2026-01-02 13:58:49.583947,67.16641344030499,320.5415536722014,6.201023578643799,192.24878123964118,1
104,2026-01-02 13:58:52.576329,67.17232836708635,320.22979623822386,6.2274065017700195,192.03562041752775,1
105,2026-01-02 13:58:55.520700,67.17820988848143,319.91979949848724,6.25358247756958,191.82386189299905,1
106,2026-01-02 13:58:58.538801,67.1840580913157,319.6115588766875,6.279558181762695,191.61347669296447,1
107,2026-01-02 13:59:01.447726,67.18987301298844,319.3050724016267,6.305338382720947,191.40442425509718,1
108,2026-01-02 13:59:03.589590,67.37240269762822,309.6844991956988,6.33092737197876,191.18859790864917,1
109,2026-01-02 13:59:06.291772,67.38510243994989,309.0151351909176,6.3907246589660645,190.72046809469612,1
110,2026-01-02 13:59:08.889805,67.3977425026013,308.3489167163417,6.449952602386475,190.25546737452714,1
111,2026-01-02 13:59:11.682686,67.41032256294629,307.68586077712405,6.5086259841918945,189.79353780196107,1
112,2026-01-02 13:59:14.260452,67.42284271269571,307.0259625394695,6.5667572021484375,189.33462722543482,1
113,2026-01-02 13:59:17.147956,67.43530338106594,306.3691993807138,6.62436056137085,188.87868349338532,1
114,2026-01-02 13:59:19.889989,67.44770401648468,305.7156003725226,6.6814470291137695,188.42567183810388,1
