iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS,plc4AttackerUnit
388,2026-01-01 18:24:08.288408,6.628886384642815,6.66793521437699,57.31764061030698,57.32874672841338,57.36518477248655,57.96278130524526,57.367296893821035,6.072297170310445,57.31764064303751,57.962781567332904,0.0,0.0,0.0,0.0,0.0,0.0,-92.47155607170043,1.0,-10.946685520707433,1.0,-87.65490434484491,1.0,0
389,2026-01-01 18:24:10.618368,6.529845542068994,6.5740532012479544,57.220676082811,57.23211383364141,57.26773465987576,57.86889883316558,57.26982842783472,5.9748287039020935,57.2206761153606,57.86889909567527,0.0,0.0,0.0,0.0,0.0,0.0,-92.33040786625679,1.0,-10.886172323694154,1.0,-87.79605544759761,1.0,0
390,2026-01-01 18:24:13.261348,6.430955873639134,6.480020011079068,57.1237346939465,57.135488437673885,57.17033864768739,57.77486521092788,57.1724152266666,5.877415502337178,57.123734726325914,57.77486547383436,0.0,0.0,0.0,0.0,0.0,0.0,-92.197699522103,1.0,-10.82925758453257,1.0,-87.92876379175141,1.0,0
391,2026-01-01 18:24:15.759651,6.3322083377422365,6.385844687489026,57.026815861863824,57.0388704433551,57.07299401428573,57.68068948053027,57.075054488956276,5.780054764253733,57.02681589408316,57.68068974380987,0.0,0.0,0.0,0.0,0.0,0.0,-92.07290952360836,1.0,-10.775718210425111,1.0,-88.05355089293698,1.0,0
392,2026-01-01 18:24:18.591841,6.233594461286326,6.2915357071128835,56.92991884237256,56.94225962525094,56.97569805625037,57.586380117134176,56.97774343766936,5.682743712615893,56.9299188744413,57.58638038076467,0.0,0.0,0.0,0.0,0.0,0.0,-91.95554243092374,1.0,-10.725351389737625,1.0,-88.17090929369442,1.0,0
393,2026-01-01 18:24:21.316775,6.135106291726217,6.197101032590816,56.83304279358798,56.84565568304374,56.878448138569425,57.49194508190733,56.88047936986144,5.585479644477881,56.83304282551504,57.49194534586793,0.0,0.0,0.0,0.0,0.0,0.0,-91.84514336652683,1.0,-10.677965900072195,1.0,-88.2813112554004,1.0,0
394,2026-01-01 18:24:23.860598,6.036736357890687,6.102548117077789,56.73618713086768,56.74905854821161,56.781241925015834,57.39739182671441,56.783259885506276,5.488260159812192,56.73618716266141,57.39739209098553,0.0,0.0,0.0,0.0,0.0,0.0,-91.74128932329495,1.0,-10.633376313649023,1.0,-88.38516240132321,1.0,0
395,2026-01-01 18:24:26.049710,5.938477656200593,6.007883967594495,56.63935107670012,56.65246798310234,56.68407710834581,57.302727357369754,56.68608261951647,5.391082893530211,56.639351108368395,57.30272762193301,0.0,0.0,0.0,0.0,0.0,0.0,-91.64357178065075,1.0,-10.591414586542669,1.0,-88.48286835473118,1.0,0
396,2026-01-01 18:24:28.753922,5.840323611912866,5.913115175680286,67.35972774681638,62.41887848679118,57.54397790737829,57.20820111974874,57.51015542815328,6.2151552048121745,67.35972716490191,57.20820092846043,0.0,0.0,0.0,310.35255651693706,1.0,1.0,74.69617095864578,1.0,194.6206053548849,1.0,63.97615061757733,1.0,0
397,2026-01-01 18:24:31.297492,5.920326287336248,5.981636270711354,67.37597838343262,62.45756770992062,57.61684007727985,57.27672191198992,57.5833596365685,6.288359415423859,67.37597780333272,57.27672172106615,0.0,0.0,0.0,309.4960358939038,1.0,1.0,73.96156404126941,1.0,194.0137292046984,1.0,63.85422605774238,1.0,0
