iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2
118,2025-02-20 04:08:39.150619,3.7655694484710693,95.4253443226427,95.4439992171194,2.97576065162611,35.4282981488559,1,1
119,2025-02-20 04:10:11.218778,3.7551615238189697,95.4297284653678,95.448384641229,2.97575858818282,35.4259550931378,1,1
120,2025-02-20 04:11:33.443787,3.7448339462280273,95.4340563043586,95.4527137451769,2.97575655455253,35.4236420938357,1,1
121,2025-02-20 04:13:00.965605,3.7337160110473633,95.5665838242483,95.5852800144576,2.97569416229278,35.3527949609914,1,1
122,2025-02-20 04:14:25.051003,3.722676992416382,95.5716471848996,95.5903448560802,2.97569177702085,35.3500874970542,1,1
123,2025-02-20 04:15:57.798553,3.711716890335083,95.5766663646788,95.5953655039663,2.97568941533881,35.3474035838282,1,1
124,2025-02-20 04:17:23.532112,3.7008349895477295,95.5816331903611,95.6003337824796,2.97568707636558,35.3447476144737,1,1
125,2025-02-20 04:18:51.822817,3.6900312900543213,95.5865676037759,95.6052696392814,2.97568474924256,35.342108925338,1,1
126,2025-02-20 04:20:18.655710,3.679305076599121,95.5914496348567,95.610153098463,2.97568245099142,35.3394982039213,1,1
127,2025-02-20 04:21:41.482859,3.668656349182129,95.5962897973986,95.614994676894,2.97568016744559,35.3369098203167,1,1
128,2025-02-20 04:23:11.385725,3.6580848693847656,95.6010946499404,95.6198009350307,2.97567790428931,35.3343402770597,1,1
129,2025-02-20 04:24:38.063842,3.647589683532715,95.6058485825404,95.6245562583642,2.97567566299675,35.3317979171977,1,1
130,2025-02-20 04:26:08.331543,3.62682843208313,95.6105646226232,95.6292736781289,2.97567344279746,35.3292757806954,1,1
131,2025-02-20 04:27:31.529924,3.62682843208313,95.6152316222551,95.6339420431291,2.9756712426074,35.3267798241297,1,1
132,2025-02-20 04:28:52.885580,3.6165614128112793,95.6198650902754,95.6385768667404,2.97566905790936,35.3243017574241,1,1
133,2025-02-20 04:30:16.296659,3.6073319911956787,95.4612965283658,95.4799619317223,2.97574373319153,35.4090827506446,1,1
134,2025-02-20 04:31:40.578761,3.598174571990967,95.4651548371872,95.4838213684368,2.97574192185006,35.407020464798,1,1
135,2025-02-20 04:33:02.516551,3.5890889167785645,95.4689727601771,95.4876404075471,2.97574012142786,35.4049797138744,1,1
136,2025-02-20 04:34:32.916596,3.5800750255584717,95.4727433179021,95.4914120675676,2.97573835213346,35.4029642607272,1,1
137,2025-02-20 04:36:00.430839,3.571131944656372,95.4764858526857,95.4951556964756,2.97573658420128,35.4009637467869,1,1
138,2025-02-20 04:37:20.908616,3.5884246826171875,92.1939323523438,92.2116507522949,2.97725891963148,37.1447436303477,1,1
139,2025-02-20 04:38:50.247703,3.6057040691375732,92.1760682881648,92.1937815552159,2.97726708064141,37.1541739225262,1,1
140,2025-02-20 04:40:16.488373,3.62296986579895,92.1582194179026,92.1759275571521,2.97727523312341,37.1635952188281,1,1
141,2025-02-20 04:41:41.481144,3.6402223110198975,92.1403987744199,92.1581017944681,2.97728337231295,37.1730009656636,1,1
142,2025-02-20 04:44:27.897942,3.666476011276245,92.1047581347397,92.1224509180401,2.97729964112696,37.1918101632433,1,1
143,2025-02-20 04:45:52.694722,3.6747443675994873,92.0843404682679,92.1020273883097,2.97730896283991,37.2025840083347,1,1
144,2025-02-20 04:47:17.414431,3.6920840740203857,92.0757994254279,92.0934838928052,2.97731285891218,37.2070908375163,1,1
145,2025-02-20 04:48:38.385963,3.7049012184143066,93.0325047000556,93.0504645883237,2.97687434060149,36.701351405436,1,1
146,2025-02-20 04:50:05.227886,3.7177090644836426,93.0190250586693,93.0369810578716,2.97688054529579,36.7084885057308,1,1
147,2025-02-20 04:51:26.933852,3.7305073738098145,93.0055697039565,93.0235218200628,2.97688673932121,36.7156139571652,1,1
148,2025-02-20 04:52:53.921684,3.7432963848114014,92.992125711512,93.0100739480787,2.97689292400194,36.7227330204914,1,1
149,2025-02-20 04:54:21.919200,3.7560760974884033,92.9786836348973,92.9966279927547,2.97689911299088,36.7298507076497,1,1
150,2025-02-20 04:55:46.757854,3.768846273422241,92.9652506531459,92.9831911351956,2.97690528997069,36.7369632042355,1,1
151,2025-02-20 04:57:14.354920,3.781606912612915,92.9518353262566,92.9697719378697,2.97691145940705,36.7440659873248,1,1
152,2025-02-20 04:58:34.411288,3.794358253479004,92.9384180798993,92.956350820798,2.97691763847901,36.7511694301576,1,1
153,2025-02-20 04:59:56.887556,3.807100296020508,92.925018052244,92.9429469276722,2.97692379524262,36.7582633768897,1,1
154,2025-02-20 05:01:19.413671,3.8198328018188477,92.911613904639,92.929538913684,2.97692996034332,36.7653591466052,1,1
155,2025-02-20 05:02:45.229317,3.8325562477111816,92.8982249795122,92.9161461268407,2.97693612262119,36.7724464970281,1,1
156,2025-02-20 05:04:13.115585,3.8452701568603516,92.8848505006874,92.9027677907414,2.97694227016803,36.7795258284831,1,1
157,2025-02-20 05:05:41.123773,3.8607776165008545,92.2841270196267,92.3018713413844,2.97721769949641,37.0971225410361,1,1
158,2025-02-20 05:07:02.844733,3.8762736320495605,92.2679296357174,92.2856693014329,2.97722510286148,37.1056757185974,1,1
159,2025-02-20 05:08:28.580502,3.891758680343628,92.2517521741597,92.2694871899394,2.97723249923088,37.114217853598,1,1
160,2025-02-20 05:09:58.792754,3.9072325229644775,92.235577641808,92.2533080088969,2.97723988929578,37.1227579032089,1,1
161,2025-02-20 05:11:23.172748,3.9226949214935303,92.2194109498848,92.2371366709396,2.97724728083851,37.1312932841118,1,1
162,2025-02-20 05:12:47.787267,3.9535861015319824,92.2032605420498,92.2209816221532,2.97725465670819,37.1398195261121,1,1
163,2025-02-20 05:14:15.234684,3.9535861015319824,92.187118048933,92.2048344907614,2.97726203568698,37.1483410642821,1,1
164,2025-02-20 05:15:37.299006,3.9690146446228027,92.170984852942,92.1886966595682,2.97726940215863,37.1568571543414,1,1
165,2025-02-20 05:16:58.310590,3.9844322204589844,92.1548644312946,92.1725716067903,2.97727676299028,37.1653659702181,1,1
166,2025-02-20 05:18:26.520379,3.999838352203369,92.1387524642776,92.1564550114721,2.97728412086503,37.1738697939366,1,1
167,2025-02-20 05:19:52.160194,4.015233516693115,92.1226449931585,92.1403429137438,2.97729147893925,37.1823707168146,1,1
168,2025-02-20 05:21:16.836452,4.0306172370910645,92.1065499319084,92.1242432298493,2.97729882320084,37.1908645521405,1,1
169,2025-02-20 05:22:40.123929,4.0442585945129395,92.4713736257736,92.4891718026149,2.97713200884266,36.998205912396,1,1
170,2025-02-20 05:24:10.101609,4.057890892028809,92.4569620655332,92.4747560953542,2.97713861072222,37.0058217926679,1,1
171,2025-02-20 05:25:36.991760,4.07151460647583,92.4425354436034,92.4603253225134,2.97714521843142,37.0134450408022,1,1
172,2025-02-20 05:27:04.678944,4.085129737854004,92.4281207143142,92.4459064460558,2.97715181812617,37.0210615774006,1,1
173,2025-02-20 05:28:25.893320,4.09873628616333,92.4137126997616,92.4314942865865,2.9771584147568,37.0286741426962,1,1
174,2025-02-20 05:29:49.980265,4.11233377456665,92.3993081743559,92.4170856175877,2.97716500645613,37.0362844379555,1,1
175,2025-02-20 05:31:14.304450,4.139503479003906,92.3849169401321,92.4026902439136,2.97717159523617,37.0438872913138,1,1
176,2025-02-20 05:32:37.040207,4.153075695037842,92.3705318994017,92.3883010658333,2.97717817229079,37.051486441719,1,1
177,2025-02-20 05:34:03.768593,4.153075695037842,92.3561546091071,92.3739196407367,2.97718475630681,37.0590810864051,1,1
178,2025-02-20 05:35:28.765255,4.1666388511657715,92.3417816219003,92.3595425202838,2.97719133009432,37.0666730282621,1,1
179,2025-02-20 05:36:48.869876,4.1801934242248535,92.3274164575516,92.3451732252569,2.97719790037664,37.0742604167355,1,1
180,2025-02-20 05:38:15.202143,4.193739414215088,92.3130629797232,92.3308156204286,2.97720446634847,37.0818412128849,1,1
181,2025-02-20 05:39:36.764283,4.208395957946777,92.0577581916665,92.0754374788221,2.97732109180688,37.2166098964085,1,1
182,2025-02-20 05:40:57.633977,4.2230424880981445,92.0423311343062,92.0600059920344,2.97732813450797,37.2247494088693,1,1
