J2,P1F,V_UF,P1,T41
57.5871392344788,0.0,-7.80421486069827,0,6.5988264083862305
57.5094074896316,0.0,-7.81759463393428,0,6.5988264083862305
57.4316670836436,0.0,-7.83007334405283,0,6.5988264083862305
57.3539188045354,0.0,-7.84169445068983,0,6.5988264083862305
57.3883502730802,0.0,-6.21239849579069,0,6.5988264083862305
57.3230113699618,0.0,-6.25467602958452,0,6.5988264083862305
57.2576409191362,0.0,-6.29368250145035,0,6.5988264083862305
57.1922420601611,0.0,-6.32964969611294,0,6.1032867431640625
57.1268173521182,0.0,-6.36282098753327,0,6.038548946380615
57.0613689347929,0.0,-6.39341077658173,0,5.9737348556518555
56.995899089482,0.0,-6.42159869642001,0,5.908851623535156
56.9304104075033,0.0,-6.44758176406413,0,5.843903541564941
56.864903111736,0.0,-6.47153961267577,0,5.778896331787109
56.7993795823701,0.0,-6.49361421039885,0,5.713834285736084
56.7338413870721,0.0,-6.51395621730444,0,5.648721694946289
56.6682895435002,0.0,-6.53270180691834,0,5.583562850952148
56.4543233628593,0.0,-8.6060190670878,0,5.501555919647217
56.3727807038702,0.0,-8.58993030988131,0,5.419589042663574
56.291246479912,0.0,-8.57491935164489,0,5.3376593589782715
56.209720525032,0.0,-8.56090506772489,0,5.255764961242676
56.1282020498253,0.0,-8.54783530655823,0,5.173902988433838
56.0466907373868,0.0,-8.53564343003654,0,5.092071056365967
55.9651862395478,0.0,-8.5242541081243,0,5.010267734527588
55.8836879761096,0.0,-8.51363257311277,0,4.92849063873291
55.8021955583543,0.0,-8.50371508420267,0,4.846737861633301
55.720708803444,0.0,-8.49446397637621,0,4.765008449554443
55.6392272495302,0.0,-8.48582709807033,0,4.683300495147705
55.5577504968491,0.0,-8.47776968157632,0,4.6016130447387695
55.4688647562281,0.0,-8.56336198580721,0,4.519178867340088
55.3866694337596,0.0,-8.55510175767904,0,4.436765193939209
55.3044787074728,0.0,-8.54738622365403,0,4.354370594024658
55.2222923305345,0.0,-8.54018061602346,0,4.271994113922119
55.1401100250214,0.0,-8.5334588590058,0,4.189634323120117
55.057931702391,0.0,-8.52716880103799,0,4.107290267944336
54.9757568320301,0.0,-8.52130464750189,0,4.024960994720459
54.8935853376453,0.0,-8.51582293876163,0,3.9426448345184326
