iteration,timestamp,T2,J4,V4F,V4
232,2026-01-02 15:35:02.933278,7.24553397003629,58.54037566708274,-88.99838945296779,1
233,2026-01-02 15:35:09.082966,7.15021303163988,58.44505470140318,-89.00667575687748,1
234,2026-01-02 15:35:15.062176,7.054883216177422,58.34972486025134,-89.01447821017427,1
235,2026-01-02 15:35:21.219718,6.959545042852925,58.25438666272103,-89.02183447787593,1
236,2026-01-02 15:35:27.348759,6.864198994906119,58.15904059196705,-89.0287619438368,1
237,2026-01-02 15:35:33.412054,6.768845527840394,58.0636871034034,-89.03528958114748,1
238,2026-01-02 15:35:39.554672,6.673485068002378,57.96832662333533,-89.04143477366233,1
239,2026-01-02 15:35:45.784266,6.578118028199394,57.87295956443185,-89.04723228909006,1
240,2026-01-02 15:35:51.846782,6.482744776176705,57.77763270349876,-73.84591215554792,1
241,2026-01-02 15:35:57.964670,6.403652759330784,57.69854090778615,-73.76713142491553,1
242,2026-01-02 15:36:04.093701,6.324645122021805,57.619533476549094,-73.69365276986173,1
243,2026-01-02 15:36:10.511529,6.245716186254879,57.54060473281227,-73.62514589715374,1
244,2026-01-02 15:36:16.675492,6.166860620389075,57.46174934590288,-73.5612312593048,1
245,2026-01-02 15:36:22.814859,6.088073512490183,57.383182219250834,72.63889030411974,1
246,2026-01-02 15:36:28.870519,6.165872754546146,57.46098108805904,72.50399159431709,1
247,2026-01-02 15:36:34.911742,6.243527512949994,57.53863543430081,72.35477728045225,1
248,2026-01-02 15:36:41.007556,6.321022458086324,57.61612993088278,72.19208758215245,1
249,2026-01-02 15:36:46.962736,6.3983431597302305,57.69345014997054,72.01672505402712,1
250,2026-01-02 15:36:53.007437,6.475476035767155,57.77058251172459,71.8294198179592,1
251,2026-01-02 15:36:59.178709,6.552408307759077,57.8475142396922,71.63084694695954,1
252,2026-01-02 15:37:05.415234,6.6291278888845735,57.92425855152168,80.23189712901058,1
253,2026-01-02 15:37:11.547763,6.715059555065473,58.010189433449405,79.97128417912336,1
254,2026-01-02 15:37:17.526916,6.800712097727009,58.09584116742807,79.70180836082363,1
255,2026-01-02 15:37:23.553546,6.8860760166843,58.18120425483664,79.42389847585218,1
256,2026-01-02 15:37:29.707783,6.971142282237004,58.266269667461174,79.13798042864073,1
257,2026-01-02 15:37:35.917753,7.05590231780121,58.35102883009001,78.84443956129417,1
258,2026-01-02 15:37:41.885965,7.140347961952219,58.43547358266062,78.54367280515362,1
259,2026-01-02 15:37:47.875601,7.224471467854161,58.519596179630405,78.23603363192433,1
260,2026-01-02 15:37:54.069864,7.308265481715065,58.603389268363514,77.92185233483906,1
261,2026-01-02 15:38:00.188575,7.391722996260336,58.686845842809234,77.60148238560305,1
262,2026-01-02 15:38:06.192543,7.4748373786472975,58.769959271204016,77.27521641243129,1
263,2026-01-02 15:38:12.383669,7.557602321146003,58.852723246832824,76.94335863277502,1
264,2026-01-02 15:38:18.440558,7.640011820773673,58.93510152781903,65.47527047644053,1
265,2026-01-02 15:38:24.621391,7.710138531904531,59.00522743856219,65.15886404599769,1
266,2026-01-02 15:38:30.623658,7.77992635691197,59.07501445758445,64.8389200011934,1
267,2026-01-02 15:38:36.644708,7.849371510398119,59.14445880014494,64.51565274289806,1
268,2026-01-02 15:38:42.813872,7.9184704335179985,59.2135569080048,64.1892650827458,1
269,2026-01-02 15:38:48.951518,7.9872197810820005,59.28230543661931,63.8599743189161,1
270,2026-01-02 15:38:55.160752,8.055616441501627,59.350701274966525,63.52796008457062,1
271,2026-01-02 15:39:01.473251,8.123657506497732,59.418741515298876,63.193416499416344,1
272,2026-01-02 15:39:07.664643,8.191340259078558,59.486423441151956,62.856514504687766,1
273,2026-01-02 15:39:13.823804,8.258662174813342,59.55374452857518,62.51741634969221,1
274,2026-01-02 15:39:20.075101,8.325620904308854,59.62070242867496,62.17630166759136,1
275,2026-01-02 15:39:26.160019,8.392214284749553,59.687294979069684,61.83331532383818,1
276,2026-01-02 15:39:32.312210,8.45844031401614,59.753518974563065,60.9860146732899,1
277,2026-01-02 15:39:38.310264,8.523758843592379,59.818836680170264,60.639867365352984,1
278,2026-01-02 15:39:44.619361,8.588706638613646,59.88378365211494,60.29241047372125,1
279,2026-01-02 15:39:50.766745,8.653282294002526,59.948358485663015,59.94376858268424,1
280,2026-01-02 15:39:56.800673,8.717484538744488,60.01255991016777,59.5940749684587,1
281,2026-01-02 15:40:02.960116,8.781312249644898,60.076386802704455,59.24343103686169,1
282,2026-01-02 15:40:08.942727,8.844764409152132,60.139838146024665,58.89195847487372,1
