iteration,timestamp,T1,P1F,J1,V1F,P1
117,2026-01-02 15:24:51.765765,6.849719524383545,303.7736413173389,67.48454851278846,187.08373679032775,1
118,2026-01-02 15:24:54.287023,6.904849529266357,303.1325941686827,67.49671100366908,186.64199566728712,1
119,2026-01-02 15:24:56.912088,6.959514617919922,302.49466175950795,67.50881439906723,186.2029548362898,1
120,2026-01-02 15:24:59.013498,7.013724327087402,295.86543222383955,67.63458977135011,185.37008857947512,1
121,2026-01-02 15:25:01.914534,7.088000297546387,0.0,57.853227693981474,-10.748726879228343,0
122,2026-01-02 15:25:04.483159,6.996382236480713,0.0,57.76540906682877,-10.632188416934696,0
123,2026-01-02 15:25:07.034506,6.905056476593018,0.0,57.677611066126005,-10.523481381028432,0
124,2026-01-02 15:25:09.725818,6.814003944396973,0.0,57.58983504739378,-10.4220465908611,0
125,2026-01-02 15:25:12.442692,6.72320556640625,0.0,57.50208268578504,-10.327356736183901,0
126,2026-01-02 15:25:15.502032,6.6326446533203125,0.0,57.414354508258874,-10.23895404216546,0
127,2026-01-02 15:25:17.911536,6.542304992675781,0.0,57.32665108346885,-10.156380733974402,0
128,2026-01-02 15:25:20.524674,6.45217227935791,0.0,57.23897241716072,-10.079242777578656,0
129,2026-01-02 15:25:23.211065,6.362232208251953,0.0,57.15131858775996,-10.007157728182392,0
130,2026-01-02 15:25:25.803503,6.272472381591797,0.0,57.063688962110085,-9.939792395243785,0
131,2026-01-02 15:25:28.479744,6.1828813552856445,0.0,56.97608341723145,-9.876807793602893,0
132,2026-01-02 15:25:31.139583,6.093447685241699,0.0,56.76676060786719,-11.113089569221302,0
133,2026-01-02 15:25:33.752654,5.99306583404541,0.0,56.668535644156584,-11.05097705760727,0
134,2026-01-02 15:25:36.210233,5.892839431762695,311.51236725413503,67.33772283260063,194.38691420077703,1
135,2026-01-02 15:25:38.514907,5.966672897338867,310.71238687325274,67.35290073972894,193.8227096184164,1
136,2026-01-02 15:25:41.245305,6.039792060852051,309.91580613255456,67.36801414599668,193.2620455477263,1
137,2026-01-02 15:25:43.817159,6.112213134765625,309.1226112152467,67.38306331354782,192.7048930156161,1
138,2026-01-02 15:25:46.551972,6.183952331542969,308.33283506155425,67.39804761741243,192.15120566514088,1
139,2026-01-02 15:25:49.315878,6.2550249099731445,307.5464884649937,67.41296685280679,191.60093713935566,1
140,2026-01-02 15:25:52.272803,6.325445175170898,306.7635720372499,67.42782100812546,191.05402949207928,1
141,2026-01-02 15:25:55.391911,6.395226955413818,305.98409198394677,67.44260996563006,190.51045954483925,1
142,2026-01-02 15:25:57.998725,6.464383125305176,305.20804690985835,67.45733375179202,189.97018094069062,1
143,2026-01-02 15:26:00.824990,6.532926082611084,304.43544451377073,67.47199222054343,189.4331299388341,1
144,2026-01-02 15:26:03.263143,6.600868225097656,300.45416775324844,67.54752838413856,188.62366234998262,1
145,2026-01-02 15:26:10.615962,6.600868225097656,299.5778355338384,67.56415490318527,188.01406272928034,1
146,2026-01-02 15:26:16.816286,6.600868225097656,298.705176288153,67.58071173545538,187.4078587547956,1
147,2026-01-02 15:26:22.804820,6.600868225097656,297.8361793303839,67.59719908368913,186.80504463191028,1
148,2026-01-02 15:26:28.920864,6.600868225097656,296.9708536140666,67.61361677801247,186.20557400367943,1
149,2026-01-02 15:26:35.145363,6.600868225097656,296.10919561127156,67.62996488536024,185.60941789701246,1
150,2026-01-02 15:26:41.423317,6.600868225097656,295.2512169030922,67.64624318600609,185.01653574958254,1
151,2026-01-02 15:26:47.734140,6.600868225097656,294.39690657047544,67.66245188711561,184.42689858829908,1
152,2026-01-02 15:26:53.744162,6.600868225097656,293.54626693249105,67.6785909446894,183.8404832346896,1
153,2026-01-02 15:26:59.858877,6.600868225097656,292.6992957116297,67.69466040193832,183.2572549210454,1
154,2026-01-02 15:27:05.880023,6.600868225097656,291.85599461699434,67.71066022643583,182.67717887965773,1
155,2026-01-02 15:27:12.054478,6.600868225097656,291.0163498296754,67.72659068036599,182.10023772667228,1
156,2026-01-02 15:27:18.345906,6.600868225097656,287.964504805719,67.78449287578289,181.3174022026942,1
157,2026-01-02 15:27:24.676489,6.600868225097656,287.05490580348476,67.80175056048344,180.69095762712095,1
158,2026-01-02 15:27:31.156453,6.600868225097656,286.1491207023708,67.81893588461317,180.06779860002098,1
159,2026-01-02 15:27:37.314009,6.600868225097656,285.2471310996855,67.8360491973236,179.44789035368558,1
160,2026-01-02 15:27:43.569340,6.600868225097656,284.34896408722926,67.85308998460606,178.83120970964228,1
161,2026-01-02 15:27:49.944101,6.600868225097656,283.45458904933145,67.87005882732704,178.2177334894186,1
162,2026-01-02 15:27:56.227358,6.600868225097656,282.56402371958995,67.8869553890297,177.60743851454208,1
163,2026-01-02 15:28:02.369399,6.600868225097656,281.67726843822203,67.90377966325912,177.00029581192211,1
164,2026-01-02 15:28:08.620548,6.600868225097656,280.79431259007185,67.92053185141503,176.39628220308623,1
165,2026-01-02 15:28:14.750023,6.600868225097656,279.91515607313244,67.93721195543287,175.79537450956195,1
166,2026-01-02 15:28:20.815731,6.600868225097656,279.0397989192748,67.9538199747079,175.19755534749493,1
167,2026-01-02 15:28:26.937010,6.600868225097656,278.16824129615543,67.9703559060592,174.60279574379456,1
