iteration,timestamp,P79,T41,T42,P1,J2,J13,J21,V1F
52.0,2024-12-23 14:16:20.495616,0.0,8.877284049987793,8.875214576721191,0.0,60.18425369262695,60.17643737792969,60.18461227416992,-5.215440273284912
53.0,2024-12-23 14:16:27.513247,0.0,8.864953994750977,8.862885475158691,0.0,60.17192077636719,60.16410827636719,60.172279357910156,-5.215298175811768
54.0,2024-12-23 14:16:34.483377,0.0,8.85262393951416,8.850555419921875,0.0,60.15959167480469,60.15177917480469,60.159950256347656,-5.21528959274292
55.0,2024-12-23 14:16:41.483051,0.0,8.840293884277344,8.838225364685059,0.0,60.14726257324219,60.13945007324219,60.147621154785156,-5.215286731719971
56.0,2024-12-23 14:16:48.524700,0.0,8.827963829040527,8.825895309448242,0.0,60.13493347167969,60.12712097167969,60.135292053222656,-5.21528959274292
57.0,2024-12-23 14:16:55.423633,0.0,8.815634727478027,8.813565254211426,0.0,60.12260437011719,60.11478805541992,60.12295913696289,-5.21528959274292
58.0,2024-12-23 14:17:02.564172,0.0,8.803304672241211,8.801236152648926,0.0,60.11027145385742,60.10245895385742,60.11063003540039,-5.215286731719971
59.0,2024-12-23 14:17:09.509160,0.0,8.790974617004395,8.78890609741211,0.0,60.09794235229492,60.09012985229492,60.09830093383789,-5.215286731719971
60.0,2024-12-23 14:17:16.217581,0.0,8.778644561767578,8.776576042175293,0.0,60.08561325073242,60.07780075073242,60.08597183227539,-5.21528959274292
61.0,2024-12-23 14:17:23.203677,0.0,8.760316848754883,8.7562894821167,0.0,60.07289123535156,60.05614471435547,60.073638916015625,-7.990726470947266
62.0,2024-12-23 14:17:30.517069,0.0,8.741240501403809,8.736751556396484,0.0,60.05450439453125,60.03689956665039,60.0553092956543,-8.119575500488281
63.0,2024-12-23 14:17:37.602419,0.0,8.722014427185059,8.717363357543945,0.0,60.03541564941406,60.01760482788086,60.036231994628906,-8.15023136138916
64.0,2024-12-23 14:17:44.689042,0.0,8.702736854553223,8.698025703430176,0.0,60.01618576049805,59.9983024597168,60.017005920410156,-8.161029815673828
65.0,2024-12-23 14:17:51.741853,0.0,8.683441162109375,8.678707122802734,0.0,59.996910095214844,59.97899627685547,59.99773025512695,-8.165034294128418
66.0,2024-12-23 14:17:58.793280,0.0,8.664137840270996,8.659395217895508,0.0,59.97761154174805,59.95969009399414,59.978431701660156,-8.16653823852539
67.0,2024-12-23 14:18:06.137246,0.0,8.644831657409668,8.640087127685547,0.0,59.958309173583984,59.94038391113281,59.959129333496094,-8.167108535766602
