,J1,J2,J3,J4,J5,J1S,J2S
142,-0.0001584595566776148,-0.0001419683623062512,-0.000126191523635254,-0.00012510983904552187,-0.00012608467887303965,0,0
143,-0.00015850972106580817,-0.0001420898028966383,-0.0001264129478148157,-0.00012532469089451714,-0.00012630703194007164,0,0
144,-0.00015876478819833338,-0.00014277221147242057,-0.000126927949553427,-0.0001255389720188982,-0.0001268192232266485,0,0
145,-0.0001588214489362949,-0.00014290847319071265,-0.00012717657415709516,-0.00012578211557590647,-0.00012706886928454786,0,0
146,-0.00015887787788670227,-0.00014304428416524073,-0.00012742335387658455,-0.00012602445295666897,-0.000127316647981488,0,0
147,-0.0001589340748967677,-0.00014317963127889077,-0.0001276683082630725,-0.00012626595469577895,-0.00012756257977971418,0,0
148,-0.00015899004020416107,-0.0001433145041901934,-0.00012791145647161995,-0.00012650659297454235,-0.00012780668470008472,0,0
149,-0.00015904577258658015,-0.0001434488878438933,-0.00012815281724985362,-0.0001267463415757075,-0.00012804898233338856,0,0
150,-0.00015910127198177804,-0.00014358277413940856,-0.00012839240914734208,-0.00012698517574199485,-0.000128289491998792,0,0
151,-0.0001591565391989641,-0.00014371615234198276,-0.00012863025046466636,-0.0001272230721364853,-0.000128528232732521,0,0
152,-0.00015921157348551705,-0.00014384901214127,-0.00012886635908365584,-0.00012746000876339702,-0.00012876522309546168,0,0
153,-0.00015926637448493208,-0.0001439813452895594,-0.0001291007525805643,-0.0001276959648662268,-0.00012900048134292463,0,0
154,-0.00015932094294417165,-0.00014411314451245495,-0.00012933344831095206,-0.0001279309208881385,-0.00012923402543596252,0,0
155,-0.00012660201530799553,-0.0001266143370880851,-0.00012676486133932018,-0.00012816417447501395,-0.00012677186860011514,0,0
156,-0.00012658357022789972,-0.00012659393880151693,-0.00012672007714653266,-0.00012789428199877273,-0.0001267259514802621,0,0
157,-0.0001263189377851323,-0.00012633081711585392,-0.0001264518409351234,-0.00012764874703002915,-0.00012645757992151284,0,0
158,-0.00012605433747731376,-0.00012606769813792995,-0.00012618394592712635,-0.00012740199463125878,-0.00012618956109882395,0,0
159,-0.00012578978402017104,-0.00012580458686164197,-0.00012591637703616266,-0.0001271541170749646,-0.0001259218788223493,0,0
160,-0.00012552529080244097,-0.0001255414897465179,-0.00012564912003033336,-0.00012690519891503716,-0.00012565451784160464,0,0
161,-0.00012526086617652228,-0.00012527841026423569,-0.00012538215961954257,-0.00012665531786386962,-0.00012538746197240269,0,0
162,-0.00012499651598371826,-0.00012501535084808224,-0.00012511548055330613,-0.0001264045453242857,-0.00012512069519466152,0,0
163,-0.0001247322450184529,-0.00012475231442366064,-0.00012484906833376108,-0.00012615294700069057,-0.00012485420228619093,0,0
164,-0.0001244680545270785,-0.00012448930120883495,-0.00012458290784057578,-0.0001259005834536342,-0.00012458796750984934,0,0
165,-0.00012420394671794428,-0.00012422631346429845,-0.0001243169855265669,-0.00012564751046197474,-0.00012432197674691392,0,0
166,-0.00012393992055973274,-0.00012396335066944096,-0.00012405128723905868,-0.00012539377955480657,-0.00012405621534673395,0,0
167,-0.000123675975719989,-0.0001237004133590197,-0.0001237858001212422,-0.0001251394382661064,-0.00012379066999413713,0,0
168,-0.0001227949736270506,-0.00012282894309882276,-0.00012295422214271488,-0.00012488438155144443,-0.0001229612726877227,0,0
169,-0.00012247424039939724,-0.00012250941677864502,-0.00012263164889179777,-0.00012457512449706942,-0.00012263862994665864,0,0
170,-0.0001583075184748789,-0.000141609890618003,-0.0001253948342035982,-0.00012426607235940467,-0.00012528380420488317,0,0
171,-0.00015835992482855055,-0.00014173622866230917,-0.00012562877013505113,-0.00012449001535307701,-0.00012551877309492144,0,0
172,-0.0001584121125202703,-0.0001418622232792921,-0.0001258609235763286,-0.00012471339594623986,-0.00012575193272862828,0,0
173,-0.0001584640807974169,-0.0001419878566663457,-0.00012609131535749828,-0.00012493617439709336,-0.00012598330526589096,0,0
174,-0.0001585158281264537,-0.00014211311198851994,-0.0001263199660143699,-0.00012515831347634788,-0.00012621291247048028,0,0
175,-0.00015856735474505056,-0.00014223797542983806,-0.0001265468959582594,-0.00012537977825784807,-0.00012644077592508519,0,0
176,-0.000158618659877951,-0.0001423624305769311,-0.000126772125272272,-0.00012560053599973807,-0.0001266669167596901,0,0
177,-0.00015866974352515495,-0.00014248646500023,-0.0001269956737452549,-0.0001258205559633796,-0.0001268913557873863,0,0
178,-0.00015872060592716174,-0.00014261006825923628,-0.00012721756087745616,-0.00012603980931149338,-0.00012711411341383093,0,0
179,-0.000158771245425941,-0.0001427332238047696,-0.00012743780567114893,-0.00012625826898366555,-0.00012733520954670617,0,0
180,-0.0001590516424908786,-0.00014347959771847995,-0.0001279888743465507,-0.00012647598671836625,-0.0001278828954609934,0,0
181,-0.00015910965227422386,-0.00014361910866136473,-0.00012824015229114248,-0.000126725597799181,-0.00012813515336378644,0,0
182,-0.0001591674240127894,-0.0001437581042652064,-0.00012848959464897502,-0.00012697425653111273,-0.00012838555612864288,0,0
183,-0.0001592249603280174,-0.00014389657663596954,-0.00012873721998659326,-0.00012722193956026583,-0.00012863412301814092,0,0
184,-0.00015928225987594136,-0.0001440345164196466,-0.0001289830461292385,-0.00012746862485690569,-0.00012888087255921387,0,0
185,-0.00015933932246699117,-0.00014417191190816637,-0.00012922709067579973,-0.00012771429160794102,-0.00012912582299585474,0,0
186,-0.0001593961478733999,-0.00014430875700982337,-0.00012946937093656684,-0.00012795892014335952,-0.0001293689922664809,0,0
187,-0.00012678153688083449,-0.0001267914104036455,-0.00012693548982854795,-0.00012820181849295341,-0.0001269420933844101,0,0
188,-0.0001265030447824564,-0.00012651452204364032,-0.00012665287708470417,-0.00012794468602045584,-0.00012665932597971885,0,0
189,-0.00012622456590305088,-0.00012623762971681162,-0.00012637062108335594,-0.00012768623512520726,-0.0001263769281064264,0,0
190,-0.0001259461184837815,-0.00012596073922626572,-0.00012608870717385257,-0.00012742656215971037,-0.0001260948839311915,0,0
191,-0.00012566771862253882,-0.00012568385749838206,-0.00012580712185993991,-0.0001271657557804906,-0.00012581317884297505,0,0
192,-0.00012533455353544275,-0.00012535292744048188,-0.00012547554395920702,-0.00012690388437422762,-0.00012548168921396873,0,0
193,-0.0001250510497643753,-0.00012507086640766162,-0.00012518931208589047,-0.00012663600955685304,-0.00012519535465594479,0,0
194,-0.00012476762038681087,-0.0001247888254268231,-0.00012490336466381314,-0.00012636723145244998,-0.00012490931239792503,0,0
195,-0.0001244842693582554,-0.00012450680635122557,-0.00012461768752898173,-0.00012609761283416176,-0.00012462354761383576,0,0
196,-0.00012420100017302205,-0.00012422481175845544,-0.0001243322673549063,-0.00012582721180095735,-0.00012433804634905953,0,0
197,-0.00012391781284242843,-0.00012394284137406063,-0.00012404709003984048,-0.00012555608220204183,-0.00012405279396992207,0,0
198,-0.00012363470874156456,-0.0001236608968475833,-0.00012376214310611534,-0.0001252842739254556,-0.0001237677774951207,0,0
199,-0.00012335168667359286,-0.00012337897779139516,-0.00012347741363467502,-0.00012501183328287314,-0.00012348298356987142,0,0
200,-0.0001230687453964052,-0.00012309708413193177,-0.00012319288949303787,-0.0001247388032359553,-0.00012319839964294087,0,0
201,-0.000158557040041859,-0.00014228017061101715,-0.0001258999168744923,-0.00012446596654480557,-0.00012578611729730405,0,0
202,-0.00015861597322363197,-0.00014242141059664758,-0.000126162063230858,-0.00012471851485190255,-0.00012604940135110931,0,0
203,-0.000158674675138461,-0.00014256223895218635,-0.0001264222549731231,-0.00012497034599012524,-0.00012631070442643334,0,0
204,-0.0001583626667213117,-0.00014168281781950896,-0.00012615402030656807,-0.0001252213023051174,-0.00012605032175602826,0,0
205,-0.0001584083323100338,-0.00014179436637146937,-0.00012635478787786258,-0.0001254178066502365,-0.000126251901083152,0,0
206,-0.00015845378636690055,-0.0001419055386693685,-0.00012655403388656117,-0.00012561367587352046,-0.0001264519386004692,0,0
207,-0.00015849903275404754,-0.00014201632434061363,-0.00012675178214492267,-0.00012580887988143495,-0.00012665045909355355,0,0
208,-0.00015854407056323626,-0.0001421267093174111,-0.00012694805200040736,-0.0001260033906911806,-0.000126847482854886,0,0
209,-0.00015858890062631136,-0.00014223668651210553,-0.00012714286243831197,-0.00012619718217038778,-0.0001270430297355607,0,0
210,-0.00015863352176907042,-0.00014234623875304775,-0.00012733623184409958,-0.00012639022998618742,-0.00012723711897552059,0,0
211,-0.00015867793653514707,-0.00014245536214980812,-0.00012752817837688113,-0.00012658251138451758,-0.00012742976948649785,0,0
212,-0.0001587221440219616,-0.00014256404643448183,-0.00012771871950539304,-0.00012677400519012339,-0.00012762099947853268,0,0
213,-0.0001587661440059912,-0.00014267227978299212,-0.0001279078723022553,-0.00012696469167074563,-0.00012781082667500776,0,0
214,-0.00015880993688335233,-0.0001427800551501246,-0.00012809565338172456,-0.00012715455238999197,-0.00012799926834660135,0,0
215,-0.0001588535241225053,-0.0001428873675646175,-0.00012828207900155263,-0.00012734357019036024,-0.00012818634133392236,0,0
216,-0.00015909791625561275,-0.00014354710536192028,-0.00012873100898781463,-0.00012753179052338637,-0.00012863199530680047,0,0
217,-0.00015914832436861315,-0.00014366937916633182,-0.00012894653953145706,-0.00012774856945638736,-0.00012884831403734199,0,0
218,-0.00015919850855131257,-0.0001437911550891191,-0.000129160498777251,-0.0001279644294274651,-0.00012906304588002236,0,0
219,-0.0001263292588728726,-0.00012634696726828432,-0.00012650946346085768,-0.00012817864346103324,-0.00012651726195298974,0,0
220,-0.00012601461876822373,-0.00012603405700427282,-0.00012619112354063987,-0.00012788430612795332,-0.00012619878291666664,0,0
221,-0.00012570003727183643,-0.00012572115886708423,-0.0001258731089395637,-0.00012758887155790211,-0.0001258806391872791,0,0
222,-0.0001253855203169696,-0.00012540827634537288,-0.00012555540518806028,-0.00012729241055386975,-0.0001255628155313193,0,0
223,-0.00012507107436315112,-0.0001250954121468778,-0.00012523799890305166,-0.00012699498906359018,-0.0001252452977904528,0,0
224,-0.0001247567044269132,-0.0001247825685266335,-0.00012492087695044728,-0.0001266966684455051,-0.00012492807219114389,0,0
225,-0.00012444241488251352,-0.0001244697482914081,-0.00012460402682428428,-0.00012639750583658626,-0.00012461112558232568,0,0
226,-0.00012412820693527782,-0.00012415695171565376,-0.00012428743529427244,-0.00012609755452015813,-0.00012429444419046254,0,0
227,-0.00012381408251768865,-0.00012384418042344803,-0.00012397109032412978,-0.00012579686416356762,-0.00012397801546432108,0,0
228,-0.00012341534011223954,-0.00012344791755150241,-0.0001235772607787011,-0.00012549546068414962,-0.00012358441462522628,0,0
229,-0.00012309410469660997,-0.00012312795618509063,-0.00012325403223796162,-0.00012518652279213448,-0.00012326111085630975,0,0
230,-0.0001227729515996423,-0.00012280802040214421,-0.00012293101706818964,-0.00012487696866738117,-0.00012293802535888742,0,0
231,-0.00012245188026394405,-0.00012248811097509028,-0.00012260820491376888,-0.00012456683581080208,-0.00012261514744913216,0,0
232,-0.00015830166944167445,-0.000141597867158888,-0.00012537230688435818,-0.00012425693819647865,-0.00012526109688465903,0,0
233,-0.0001583540193430899,-0.0001417239181885155,-0.0001256062003408076,-0.00012448026709078298,-0.0001254960324330079,0,0
234,-0.0001584061510324286,-0.00014184963758943182,-0.00012583830595950916,-0.00012470305623112242,-0.00012572915274932538,0,0
235,-0.0001584580635986227,-0.00014197500329794942,-0.00012606864466673028,-0.0001249252645402188,-0.00012596048010667492,0,0
