iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,CloseP1Start
20,2024-11-12 18:12:23.656655,6.455380484912571,5.565888027506492,57.81170310137048,57.367378835042516,57.811703188356454,56.80702506646269,57.82072798250968,0.0,0.0,0.0,0.0,-29.092355423472327,1.0,0
21,2024-11-12 18:12:36.926936,6.389242340362481,5.615506404644913,57.742268923056436,57.34853604816829,57.74226900481024,56.86093519378702,57.75030017322839,0.0,0.0,0.0,0.0,-27.342461876287416,1.0,0
22,2024-11-12 18:12:50.143497,6.327363529706168,5.660865455376472,57.6770716109708,57.330677693528486,57.677071687540526,56.91054634788264,57.68417134379989,0.0,0.0,0.0,0.0,-25.608654188999935,1.0,0
23,2024-11-12 18:13:02.598777,6.26970184872686,5.7020073706268075,57.61607149370925,57.31379539183958,57.616071565145155,56.95589879467978,57.62230123302733,0.0,0.0,0.0,0.0,-23.89165379156566,1.0,0
24,2024-11-12 18:13:15.579411,6.2162129931578365,5.7389764691544665,57.55922700286322,57.29788052585969,57.55922706921782,56.99703471948418,57.56464764298917,0.0,0.0,0.0,0.0,-22.192216881649074,1.0,0
25,2024-11-12 18:13:27.440353,6.165153955957656,5.769698655036643,57.506189810287346,57.27261064954911,57.506189873951755,57.03399588082577,57.51116325930431,0.0,0.0,0.0,0.0,-21.292486526363064,1.0,0
26,2024-11-12 18:13:39.740695,6.118154230062654,5.796361531043173,57.455845224274846,57.2575644111015,57.45584528298525,57.06471358577784,57.46011129582923,0.0,0.0,0.0,0.0,-19.635625573073412,1.0,0
27,2024-11-12 18:13:53.775740,6.075160073674189,5.81901883686056,57.40950077596166,57.243456972950725,57.40950082977894,57.091372575575384,57.41311805778263,0.0,0.0,0.0,0.0,-17.99912690785277,1.0,0
28,2024-11-12 18:14:06.945380,6.036114093378732,5.837727960994911,57.36710353907856,57.23028009081407,57.36710358806641,57.11402658405788,57.37012981144047,0.0,0.0,0.0,0.0,-16.38392925883636,1.0,0
29,2024-11-12 18:14:21.526720,6.000954740840389,5.852550463676237,57.32859700589749,57.21802665409472,57.32859705012207,57.1327329942426,57.331089172158364,0.0,0.0,0.0,0.0,-14.790858359106096,1.0,0
30,2024-11-12 18:14:34.922564,5.969615696135055,5.863552655610645,57.29392059425874,57.20669208151993,57.29392063378778,57.147553361827995,57.29593460116658,0.0,0.0,0.0,0.0,-13.220438621601716,1.0,0
